strategy,period,days,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_slot_frequency,emergency_day_frequency,events,daily_cvar90,daily_cvar95,worst_day,initial_soc,terminal_soc,inventory_value_rate,adjusted_cost
no_conditional,development153,153,6564627.1959157865,6169039.3693307349,395587.8265850510,9964701.5068488084,65178.5247254130,1341514.2498573442,2873405.5231791269,2327482.4897122486,546,0.0247821351,0.4509803922,134,66543.9195372473,74301.6209929088,99237.2319364772,6989.8600690943,6963.1756944763,0.4125555556,6564638.2047027834
no_conditional,frozen61,61,2958609.6595924129,2902724.6942192172,55884.9653731963,4685801.9367143158,10622.5096968355,291276.5196882440,1336286.6759219065,1083148.0934156640,84,0.0095628415,0.3442622951,32,68751.8672304557,73045.0526492947,82138.8178769202,6963.1756944763,6123.3024512321,0.4125555556,2958956.1539649130
search_only,full334,334,13835230.9184754025,13208282.3170831911,626948.6013922128,21602571.0848381445,103806.5009017949,2532715.2489263872,6496544.9077050639,5262072.0658581778,861,0.0179016966,0.4131736527,243,66996.6100534900,71558.9747007807,99041.0079997266,6000.0000000000,6143.6770921394,0.4125555556,13835171.6436928287
search_only,development153,153,6586630.9388432112,6169454.9666486382,417175.9721945735,9964559.7074232381,68470.2504449403,1344664.9681075134,2873648.0259382320,2327725.7844275674,554,0.0251452433,0.4705882353,139,68302.5038060511,76648.6230713683,99041.0079997266,6989.8600690943,6911.1007162062,0.4125555556,6586663.4314518003
search_only,frozen61,61,2950850.2586091054,2893422.1046339786,57428.1539751270,4672766.7809903072,10891.1985384588,277825.9147054892,1339544.2203593112,1085721.4997527024,82,0.0093351548,0.3278688525,30,68864.1652922251,73209.9409663360,82674.7557903816,6911.1007162062,6143.6770921394,0.4125555556,2951166.8634887128
loose_gate,full334,334,13814070.3959080074,13228827.4480108209,585242.9478971860,21628043.6070000865,97169.8315604442,2553323.3940071752,6487203.6078504156,5254503.0582637284,835,0.0173611111,0.3982035928,234,66276.1020038211,70311.3488196085,99237.2319364772,6000.0000000000,6146.5156612315,0.4125555556,13814009.9500579834
loose_gate,development153,153,6557429.1103102192,6179068.1771048419,378360.9332053755,9976545.9947477393,62348.1292272741,1351230.4528509113,2869626.6831797892,2324405.7603056859,530,0.0240559187,0.4509803922,131,66392.7881718227,73797.4232405625,99237.2319364772,6989.8600690943,6980.8079245870,0.4125555556,6557432.8448227262
loose_gate,frozen61,61,2958891.5645747040,2904354.0251054056,54537.5394692982,4686253.0158277424,10376.6504147743,291868.5750428794,1334224.2632631052,1081472.5162801349,80,0.0091074681,0.2950819672,29,68743.2787098323,73011.0051175575,82049.0369019645,6980.8079245870,6146.5156612315,0.4125555556,2959235.7564829453
strict_gate,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,0.4125555556,13820935.7074200083
strict_gate,development153,153,6564627.1959157865,6169039.3693307349,395587.8265850510,9964701.5068488084,65178.5247254130,1341514.2498573442,2873405.5231791269,2327482.4897122486,546,0.0247821351,0.4509803922,134,66543.9195372473,74301.6209929088,99237.2319364772,6989.8600690943,6963.1756944763,0.4125555556,6564638.2047027834
