date,slot,interval,price,net_actual,q,reserve,charge,discharge,emergency,spill,soc_start,soc_end
2025-02-17,117,19:30-19:40,1.3490000000,704.3086000000,0.0000000000,3588.3539675262,0.0000000000,704.3086000000,0.0000000000,0.0000000000,6613.2218387244,5830.6567276133
2025-02-17,118,19:40-19:50,1.3473000000,697.5904166667,0.0000000000,3183.4543690441,0.0000000000,697.5904166667,0.0000000000,0.0000000000,5830.6567276133,5055.5562646503
2025-02-17,119,19:50-20:00,1.3482000000,715.9066666667,0.0000000000,2784.3275281475,0.0000000000,715.9066666667,0.0000000000,0.0000000000,5055.5562646503,4260.1044127985
2025-02-17,120,20:00-20:10,1.3513000000,729.1948333333,0.0000000000,2390.3361679358,0.0000000000,729.1948333333,0.0000000000,0.0000000000,4260.1044127985,3449.8879313170
2025-02-17,121,20:10-20:20,1.3400000000,729.9477666667,0.0000000000,1997.2602904284,0.0000000000,729.9477666667,0.0000000000,0.0000000000,3449.8879313170,2638.8348572429
2025-02-17,122,20:20-20:30,1.3489000000,722.6433333333,0.0000000000,1600.3251535843,0.0000000000,722.6433333333,0.0000000000,0.0000000000,2638.8348572429,1835.8978202059
2025-02-17,123,20:30-20:40,1.3952000000,714.2049333333,0.0000000000,1200.0000000000,0.0000000000,572.3080381853,141.8968951480,0.0000000000,1835.8978202059,1200.0000000000
2025-02-17,124,20:40-20:50,1.2226000000,698.7948666667,717.7798228429,1200.0000000000,18.9849561762,0.0000000000,0.0000000000,0.0000000000,1200.0000000000,1217.0864605586
2025-02-17,125,20:50-21:00,0.9332000000,694.2450000000,715.2376247759,1200.0000000000,20.9926247759,0.0000000000,0.0000000000,0.0000000000,1217.0864605586,1235.9798228569
2025-02-17,126,21:00-21:10,0.9068000000,724.4513000000,722.9846885459,1200.0000000000,0.0000000000,1.4666114541,0.0000000000,0.0000000000,1235.9798228569,1234.3502545745
2025-02-17,127,21:10-21:20,0.9371000000,733.7204666667,734.3471572865,1200.0000000000,0.6266906199,0.0000000000,0.0000000000,0.0000000000,1234.3502545745,1234.9142761324
2025-02-17,128,21:20-21:30,0.9371000000,733.8533333333,751.6878370816,1200.0000000000,17.8345037483,0.0000000000,0.0000000000,0.0000000000,1234.9142761324,1250.9653295058
2025-02-17,129,21:30-21:40,0.9871000000,770.1881500000,754.3730882050,1200.0000000000,0.0000000000,15.8150617950,0.0000000000,0.0000000000,1250.9653295058,1233.3930386225
2025-02-17,130,21:40-21:50,0.7764000000,683.0165166667,680.8812304601,1200.0000000000,0.0000000000,2.1352862066,0.0000000000,0.0000000000,1233.3930386225,1231.0204983929
2025-02-17,131,21:50-22:00,0.4209000000,523.2383333333,1403.7834012415,1575.0000000000,833.3333333333,0.0000000000,0.0000000000,47.2117345748,1231.0204983929,1981.0204983929
2025-02-17,132,22:00-22:10,0.3859000000,517.6148333333,1358.3890906623,1950.0000000000,833.3333333333,0.0000000000,0.0000000000,7.4409239957,1981.0204983929,2731.0204983929
2025-02-17,133,22:10-22:20,0.4368000000,550.7233166667,534.7590557186,1950.0000000000,0.0000000000,15.9642609481,0.0000000000,0.0000000000,2731.0204983929,2713.2824306728
2025-02-17,134,22:20-22:30,0.4198000000,548.4933333333,1383.6579584685,2325.0000000000,833.3333333333,0.0000000000,0.0000000000,1.8312918019,2713.2824306728,3463.2824306728
2025-02-17,135,22:30-22:40,0.4186000000,553.6325833333,1392.3761237241,2700.0000000000,833.3333333333,0.0000000000,0.0000000000,5.4102070574,3463.2824306728,4213.2824306728
2025-02-17,136,22:40-22:50,0.4241000000,557.8563000000,560.3240022226,2700.0000000000,2.4677022226,0.0000000000,0.0000000000,0.0000000000,4213.2824306728,4215.5033626731
2025-02-17,137,22:50-23:00,0.4237000000,562.4033333333,1392.9620615699,3075.0000000000,830.5587282365,0.0000000000,0.0000000000,0.0000000000,4215.5033626731,4963.0062180860
2025-02-17,138,23:00-23:10,0.4248000000,582.0419166667,562.2218678434,3075.0000000000,0.0000000000,19.8200488233,0.0000000000,0.0000000000,4963.0062180860,4940.9839416157
2025-02-17,139,23:10-23:20,0.4240000000,592.0587666667,903.1276198448,3225.0000000000,311.0688531782,0.0000000000,0.0000000000,0.0000000000,4940.9839416157,5220.9459094760
2025-02-17,140,23:20-23:30,0.4220000000,584.7483333333,1415.2226512151,3600.0000000000,830.4743178817,0.0000000000,0.0000000000,0.0000000000,5220.9459094760,5968.3727955696
2025-02-17,141,23:30-23:40,0.4240000000,576.0713166667,589.2053120074,3600.0000000000,13.1339953407,0.0000000000,0.0000000000,0.0000000000,5968.3727955696,5980.1933913762
2025-02-17,142,23:40-23:50,0.4271000000,568.3777166667,586.0939776731,3600.0000000000,17.7162610064,0.0000000000,0.0000000000,0.0000000000,5980.1933913762,5996.1380262820
2025-02-17,143,23:50-24:00,0.4276000000,566.6533333333,583.2988243652,3600.0000000000,16.6454910318,0.0000000000,0.0000000000,0.0000000000,5996.1380262820,6011.1189682106
2025-02-18,0,00:00-00:10,0.4248000000,575.0578000000,1419.3549322259,3980.5594841053,833.3333333333,0.0000000000,0.0000000000,10.9637988925,6011.1189682106,6761.1189682106
2025-02-18,1,00:10-00:20,0.4245000000,570.4969000000,1416.0542792967,4355.5594841053,833.3333333333,0.0000000000,0.0000000000,12.2240459634,6761.1189682106,7511.1189682106
2025-02-18,2,00:20-00:30,0.4269000000,554.7900000000,1414.2282995432,4730.5594841053,833.3333333333,0.0000000000,0.0000000000,26.1049662099,7511.1189682106,8261.1189682106
2025-02-18,3,00:30-00:40,0.4272000000,556.3162333333,1419.3483947679,5105.5594841053,833.3333333333,0.0000000000,0.0000000000,29.6988281012,8261.1189682106,9011.1189682106
2025-02-18,4,00:40-00:50,0.4271000000,581.2374500000,1423.8659021062,5480.5594841053,833.3333333333,0.0000000000,0.0000000000,9.2951187728,9011.1189682106,9761.1189682106
2025-02-18,5,00:50-01:00,0.4285000000,600.9216666667,590.0363747320,5480.5594841053,0.0000000000,10.8852919347,0.0000000000,0.0000000000,9761.1189682106,9749.0241993944
2025-02-18,6,01:00-01:10,0.4311000000,582.4341666667,588.8785956068,5480.5594841053,6.4444289401,0.0000000000,0.0000000000,0.0000000000,9749.0241993944,9754.8241854405
2025-02-18,7,01:10-01:20,0.4302000000,587.2432333333,589.9327534344,5480.5594841053,2.6895201011,0.0000000000,0.0000000000,0.0000000000,9754.8241854405,9757.2447535315
2025-02-18,8,01:20-01:30,0.4279000000,610.9466666667,920.7963679168,5625.0000000000,309.8497012501,0.0000000000,0.0000000000,0.0000000000,9757.2447535315,10036.1094846565
2025-02-18,9,01:30-01:40,0.4312000000,592.1873000000,618.5247725374,5625.0000000000,26.3374725374,0.0000000000,0.0000000000,0.0000000000,10036.1094846565,10059.8132099402
2025-02-18,10,01:40-01:50,0.4333000000,596.5651500000,626.0644350281,5625.0000000000,29.4992850281,0.0000000000,0.0000000000,0.0000000000,10059.8132099402,10086.3625664655
2025-02-18,11,01:50-02:00,0.4311000000,622.8133333333,624.5523722784,5625.0000000000,1.7390389451,0.0000000000,0.0000000000,0.0000000000,10086.3625664655,10087.9277015160
2025-02-18,12,02:00-02:10,0.4293000000,602.8479333333,633.9681946761,5625.0000000000,31.1202613428,0.0000000000,0.0000000000,0.0000000000,10087.9277015160,10115.9359367245
2025-02-18,13,02:10-02:20,0.4324000000,596.4414166667,645.4535937647,5625.0000000000,49.0121770981,0.0000000000,0.0000000000,0.0000000000,10115.9359367245,10160.0468961128
2025-02-18,14,02:20-02:30,0.4367000000,622.5683333333,646.5229239847,5625.0000000000,23.9545906513,0.0000000000,0.0000000000,0.0000000000,10160.0468961128,10181.6060276990
2025-02-18,15,02:30-02:40,0.4348000000,633.0735500000,643.3561495747,5625.0000000000,10.2825995747,0.0000000000,0.0000000000,0.0000000000,10181.6060276990,10190.8603673162
2025-02-18,16,02:40-02:50,0.4335000000,608.7132333333,644.6909002496,5625.0000000000,35.9776669163,0.0000000000,0.0000000000,0.0000000000,10190.8603673162,10223.2402675409
2025-02-18,17,02:50-03:00,0.4357000000,583.8933333333,647.0102264030,5625.0000000000,63.1168930696,0.0000000000,0.0000000000,0.0000000000,10223.2402675409,10280.0454713035
2025-02-18,18,03:00-03:10,0.4374000000,611.9055333333,644.9243578694,5625.0000000000,33.0188245360,0.0000000000,0.0000000000,0.0000000000,10280.0454713035,10309.7624133860
2025-02-18,19,03:10-03:20,0.4371000000,641.2507333333,647.5884350865,5625.0000000000,6.3377017532,0.0000000000,0.0000000000,0.0000000000,10309.7624133860,10315.4663449638
2025-02-18,20,03:20-03:30,0.4356000000,641.6683333333,653.4824809955,5625.0000000000,11.8141476622,0.0000000000,0.0000000000,0.0000000000,10315.4663449638,10326.0990778598
2025-02-18,21,03:30-03:40,0.4353000000,634.2772166667,650.9984510736,5625.0000000000,16.7212344069,0.0000000000,0.0000000000,0.0000000000,10326.0990778598,10341.1481888260
2025-02-18,22,03:40-03:50,0.4360000000,651.5422166667,643.8793920900,5625.0000000000,0.0000000000,7.6628245767,0.0000000000,0.0000000000,10341.1481888260,10332.6339392964
2025-02-18,23,03:50-04:00,0.4378000000,673.1366666667,639.4586465105,5625.0000000000,0.0000000000,33.6780201562,0.0000000000,0.0000000000,10332.6339392964,10295.2139169006
2025-02-18,24,04:00-04:10,0.4401000000,651.5078666667,642.8701642610,5625.0000000000,0.0000000000,8.6377024057,0.0000000000,0.0000000000,10295.2139169006,10285.6164697832
2025-02-18,25,04:10-04:20,0.4389000000,647.0713833333,660.9560486698,5625.0000000000,13.8846653365,0.0000000000,0.0000000000,0.0000000000,10285.6164697832,10298.1126685861
2025-02-18,26,04:20-04:30,0.4364000000,667.4866666667,680.3149741731,5625.0000000000,12.8283075065,0.0000000000,0.0000000000,0.0000000000,10298.1126685861,10309.6581453419
2025-02-18,27,04:30-04:40,0.4393000000,662.4300666667,682.2069192485,5625.0000000000,19.7768525818,0.0000000000,0.0000000000,0.0000000000,10309.6581453419,10327.4573126655
2025-02-18,28,04:40-04:50,0.4422000000,668.1975666667,675.1991616440,5625.0000000000,7.0015949774,0.0000000000,0.0000000000,0.0000000000,10327.4573126655,10333.7587481452
2025-02-18,29,04:50-05:00,0.4395000000,678.4150000000,665.6309056789,5625.0000000000,0.0000000000,12.7840943211,0.0000000000,0.0000000000,10333.7587481452,10319.5541988995
2025-02-18,30,05:00-05:10,0.4333000000,650.9857500000,657.7992013696,5625.0000000000,6.8134513696,0.0000000000,0.0000000000,0.0000000000,10319.5541988995,10325.6863051322
2025-02-18,31,05:10-05:20,0.4439000000,656.6397833333,662.4083817345,5625.0000000000,5.7685984011,0.0000000000,0.0000000000,0.0000000000,10325.6863051322,10330.8780436932
2025-02-18,32,05:20-05:30,0.4301000000,677.9833333333,665.9615679325,5625.0000000000,0.0000000000,12.0217654008,0.0000000000,0.0000000000,10330.8780436932,10317.5205265812
2025-02-18,33,05:30-05:40,0.3713000000,642.8943666667,1507.7432731220,6000.0000000000,536.0883037987,0.0000000000,0.0000000000,328.7606026567,10317.5205265812,10800.0000000000
2025-02-18,34,05:40-05:50,0.5708000000,717.4585000000,746.1861079973,6000.0000000000,0.0000000000,0.0000000000,0.0000000000,28.7276079973,10800.0000000000,10800.0000000000
2025-02-18,35,05:50-06:00,0.9099000000,867.5400000000,14.9701431958,5537.0370370370,0.0000000000,833.3333333333,19.2365234709,0.0000000000,10800.0000000000,9874.0740740741
2025-02-18,36,06:00-06:10,0.9368000000,876.4709333333,50.2714827328,5074.0740740741,0.0000000000,826.1994506005,0.0000000000,0.0000000000,9874.0740740741,8956.0746845180
2025-02-18,37,06:10-06:20,0.8758000000,842.8524666667,383.4278956018,4802.5124948453,0.0000000000,459.4245710649,0.0000000000,0.0000000000,8956.0746845180,8445.6029388903
2025-02-18,38,06:20-06:30,0.8759000000,844.1266666667,36.5027414561,4339.5495318824,0.0000000000,807.6239252106,0.0000000000,0.0000000000,8445.6029388903,7548.2430219897
2025-02-18,39,06:30-06:40,0.8601000000,829.0638000000,853.3594953920,4339.5495318824,24.2956953920,0.0000000000,0.0000000000,0.0000000000,7548.2430219897,7570.1091478425
2025-02-18,40,06:40-06:50,0.8442000000,770.9118166667,827.1170507183,4339.5495318824,56.2052340516,0.0000000000,0.0000000000,0.0000000000,7570.1091478425,7620.6938584890
2025-02-18,41,06:50-07:00,0.8334000000,694.1870833333,777.5676365262,4339.5495318824,83.3805531929,0.0000000000,0.0000000000,0.0000000000,7620.6938584890,7695.7363563625
2025-02-18,42,07:00-07:10,0.8092000000,651.8107166667,723.4922488503,4339.5495318824,71.6815321836,0.0000000000,0.0000000000,0.0000000000,7695.7363563625,7760.2497353278
2025-02-18,43,07:10-07:20,0.7972000000,613.0086000000,676.3333913466,4339.5495318824,63.3247913466,0.0000000000,0.0000000000,0.0000000000,7760.2497353278,7817.2420475397
2025-02-18,44,07:20-07:30,0.7644000000,545.1825000000,607.8965482059,4339.5495318824,62.7140482059,0.0000000000,0.0000000000,0.0000000000,7817.2420475397,7873.6846909250
2025-02-18,45,07:30-07:40,0.6899000000,470.7289500000,1382.9298413015,4714.5495318824,833.3333333333,0.0000000000,0.0000000000,78.8675579682,7873.6846909250,8623.6846909250
2025-02-18,46,07:40-07:50,0.8600000000,541.7736500000,601.4517696112,4714.5495318824,59.6781196112,0.0000000000,0.0000000000,0.0000000000,8623.6846909250,8677.3949985751
2025-02-18,47,07:50-08:00,1.1617000000,677.0770833333,0.0000000000,4326.6393303054,0.0000000000,677.0770833333,0.0000000000,0.0000000000,8677.3949985751,7925.0871282047
2025-02-18,48,08:00-08:10,1.1683000000,634.7149833333,0.0000000000,3941.8646574079,0.0000000000,634.7149833333,0.0000000000,0.0000000000,7925.0871282047,7219.8482578343
2025-02-18,49,08:10-08:20,1.0956000000,583.2801000000,0.0000000000,3596.9616465634,0.0000000000,583.2801000000,0.0000000000,0.0000000000,7219.8482578343,6571.7592578343
2025-02-18,50,08:20-08:30,1.0849000000,590.5462500000,0.0000000000,3288.6440254087,0.0000000000,590.5462500000,0.0000000000,0.0000000000,6571.7592578343,5915.5967578343
2025-02-18,51,08:30-08:40,1.0610000000,544.8278166667,0.0000000000,3014.7635849091,0.0000000000,544.8278166667,0.0000000000,0.0000000000,5915.5967578343,5310.2325170936
2025-02-18,52,08:40-08:50,1.0430000000,443.7152333333,0.0000000000,2768.9235371877,0.0000000000,443.7152333333,0.0000000000,0.0000000000,5310.2325170936,4817.2155911677
2025-02-18,53,08:50-09:00,1.0360000000,351.8495833333,0.0000000000,2539.5172337403,0.0000000000,351.8495833333,0.0000000000,0.0000000000,4817.2155911677,4426.2716096862
2025-02-18,54,09:00-09:10,1.0147000000,333.9664666667,0.0000000000,2326.1254452532,0.0000000000,333.9664666667,0.0000000000,0.0000000000,4426.2716096862,4055.1977578343
2025-02-18,55,09:10-09:20,0.9922000000,308.5744500000,0.0000000000,2134.4982098070,0.0000000000,308.5744500000,0.0000000000,0.0000000000,4055.1977578343,3712.3372578343
2025-02-18,56,09:20-09:30,0.9700000000,231.1558333333,0.0000000000,1966.6970641474,0.0000000000,231.1558333333,0.0000000000,0.0000000000,3712.3372578343,3455.4974430195
2025-02-18,57,09:30-09:40,0.9422000000,135.8412000000,0.0000000000,1824.6844689842,0.0000000000,135.8412000000,0.0000000000,0.0000000000,3455.4974430195,3304.5627763528
2025-02-18,58,09:40-09:50,0.9569000000,72.6980500000,0.0000000000,1705.1170890753,0.0000000000,72.6980500000,0.0000000000,0.0000000000,3304.5627763528,3223.7871652417
2025-02-18,59,09:50-10:00,0.9977000000,29.2779166667,0.0000000000,1598.7501320571,0.0000000000,29.2779166667,0.0000000000,0.0000000000,3223.7871652417,3191.2561467232
2025-02-18,60,10:00-10:10,0.9919000000,-34.6658166667,0.0000000000,1502.2935483180,34.6658166667,0.0000000000,0.0000000000,0.0000000000,3191.2561467232,3222.4553817232
2025-02-18,61,10:10-10:20,0.9588000000,-15.1289000000,0.0000000000,1421.4056056722,15.1289000000,0.0000000000,0.0000000000,0.0000000000,3222.4553817232,3236.0713917232
2025-02-18,62,10:20-10:30,0.9549000000,62.4450000000,0.0000000000,1358.4765213561,0.0000000000,62.4450000000,0.0000000000,0.0000000000,3236.0713917232,3166.6880583899
2025-02-18,63,10:30-10:40,0.9839000000,57.6717500000,0.0000000000,1309.8837170793,0.0000000000,57.6717500000,0.0000000000,0.0000000000,3166.6880583899,3102.6083361677
2025-02-18,64,10:40-10:50,0.7990000000,31.6415666667,53.9363557560,1309.8837170793,22.2947890894,0.0000000000,0.0000000000,0.0000000000,3102.6083361677,3122.6736463481
2025-02-18,65,10:50-11:00,0.5025000000,13.6083333333,856.6704487410,1684.8837170793,833.3333333333,0.0000000000,0.0000000000,9.7287820744,3122.6736463481,3872.6736463481
2025-02-18,66,11:00-11:10,0.4662000000,-28.9330666667,847.3896057347,2059.8837170793,833.3333333333,0.0000000000,0.0000000000,42.9893390680,3872.6736463481,4622.6736463481
