date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,emergency_kwh,spill_kwh,planned_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend
2025-08-23,234,6589.8492672405,6818.6636792284,25045.1685028247,25045.1685028247,0.0000000000,0.0000000000,16367.2102552087,42056.1759481392,15542.2451165336,12383.2855736031,0,0,0,24950.7698459679,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-24,235,6818.6636792284,6827.5767892091,48269.2177238377,48269.2177238377,0.0000000000,0.0000000000,8596.7501506849,76029.7055979584,19428.1271839866,15728.7612200465,0,0,0,48265.5405707978,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-25,236,6827.5767892091,6268.3011238804,56604.2486987698,46735.3715937984,9868.8771049714,1450.4504173948,1006.8523394412,73461.2157108676,19131.9730050026,16000.2462328480,6,1,2,56834.9809815882,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-26,237,6268.3011238804,7013.0353488656,49134.7068493426,49134.7068493426,0.0000000000,0.0000000000,7497.7432436828,77578.1241398846,20427.9037388512,15876.3412259828,0,0,0,48827.4626074126,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-27,238,7013.0353488656,6685.2066138231,48573.4577987781,48549.4565049697,24.0012938084,3.5647250569,4570.2931048412,76075.7215926936,20473.1063567416,16878.2620104990,1,1,1,48708.7053646906,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-28,239,6685.2066138231,6802.8238696056,49649.6727359246,49046.2417311787,603.4310047460,126.1944278318,2326.8049431848,77056.4968889051,20959.1361053390,16871.0447151203,5,1,3,49601.1490836223,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-29,240,6802.8238696056,7105.0216236043,25648.2704806471,25648.2704806471,0.0000000000,0.0000000000,16848.7700823371,42827.7747463189,16588.4543967526,13164.6700827708,0,0,0,25523.5971183585,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-30,241,7105.0216236043,6641.4227390731,25167.9428747460,25167.9428747460,0.0000000000,0.0000000000,21173.6625471184,42123.5310343092,15023.0928943976,12585.9442405401,0,0,0,25359.2031701087,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-08-31,242,6641.4227390731,6842.8550579503,48943.3867354309,48840.0106509842,103.3760844467,14.8980626630,6265.3069974615,76909.1364462355,20162.1860058644,16150.0815777607,2,1,2,48860.2847132097,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-09-01,243,6842.8550579503,9510.7546012174,47555.0022055446,47555.0022055446,0.0000000000,0.0000000000,15556.6252367798,75152.2354996330,19054.5586346288,13033.0829051089,0,0,0,46454.3454273056,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-02,244,9510.7546012174,9119.1994432556,45674.5884221055,45674.5884221055,0.0000000000,0.0000000000,14270.2271804609,71384.2485669558,17940.3430455812,14884.0775090863,0,0,0,45836.1266778291,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-03,245,9119.1994432556,8421.8584873262,43638.1051660100,43638.1051660100,0.0000000000,0.0000000000,10560.2029214497,68493.2247484678,15857.4286176557,13472.1240406376,0,0,0,43925.7970514951,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-04,246,8421.8584873262,7931.2741755080,42741.2042318160,42741.2042318160,0.0000000000,0.0000000000,10101.5838089740,66975.9076174052,17843.6007319351,14894.8424735038,0,0,0,42943.5975151250,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-05,247,7931.2741755080,8040.2366610820,20572.4800402587,20572.4800402587,0.0000000000,0.0000000000,25525.8722309849,35456.7995587832,15834.7338111316,12728.0681500000,0,0,0,20527.5269614879,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-06,248,8040.2366610820,7901.7745485857,19593.9324196386,19593.9324196386,0.0000000000,0.0000000000,23367.5251515979,34113.3460675859,16575.5427222878,13550.8055062998,0,0,0,19651.0557333829,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-07,249,7901.7745485857,6671.7761903937,37955.3149785189,37955.3149785189,0.0000000000,0.0000000000,2481.2093438604,59962.9923665168,19093.6733071715,16572.8739011817,0,0,0,38462.7576345152,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-08,250,6671.7761903937,5350.5664289733,81753.8300094124,32408.1792255914,49345.6507838210,8237.0483237231,28.4484235424,53033.9946595300,15979.5463771353,14132.5213507579,50,1,2,82298.9024365406,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-09,251,5350.5664289733,5811.4511371724,44960.4089898736,38180.5615708394,6779.8474190342,1037.2894867616,6081.2629520738,62477.2816029682,20608.8296505798,16278.3557795905,8,1,3,44770.2684430354,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-10,252,5811.4511371724,6021.4876926915,65801.9190997609,37505.6024487702,28296.3166509907,4566.1129586195,190.6888196264,60706.0783338552,18823.5311730590,15058.0273502107,23,1,4,65715.2673519117,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-11,253,6021.4876926915,5976.5200676218,42404.0566696189,40035.4444812707,2368.6121883482,387.5532144719,8446.6414410441,65328.0788318437,20070.3983394788,16297.4935175405,7,1,2,42422.6083131615,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-12,254,5976.5200676218,6152.0299411852,17761.7329705359,17761.7329705359,0.0000000000,0.0000000000,17640.3406548896,32432.2338349607,16222.5162834944,12982.2793034234,0,0,0,17689.3253971424,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-13,255,6152.0299411852,6290.5900178017,17978.0436338144,17978.0436338144,0.0000000000,0.0000000000,21690.4142435868,32877.8701036292,16082.3700408120,12902.0156641029,0,0,0,17920.8799044281,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-14,256,6290.5900178017,5738.3419693530,48858.1635392155,38389.3007827441,10468.8627564714,1557.1113176184,77.6775757306,61794.5558273755,19324.6740150900,16150.0091958267,6,1,1,49085.9965396477,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-15,257,5738.3419693530,5712.2437146289,50923.2063364605,37394.2291988179,13528.9771376426,2102.1516854831,4643.4346974215,61656.4954062655,21429.8431065548,17381.6613455611,15,1,4,50933.9733164373,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-16,258,5712.2437146289,5759.2129328852,41551.9529595800,40621.9905728114,929.9623867686,136.9479555742,2072.3722222446,65370.9075395798,20533.8999639230,16590.1866743469,3,1,2,41532.5755476482,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
