date,balance_max_abs,soc_equation_max_abs,soc_min,soc_max,charge_max,discharge_max,negative_min,simultaneous_max,pass,lp_eq_residual,lp_dual_gap_relative,lp_stationarity
2025-06-09,0.0000000000,0.0000000000,1408.5614563556,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-10,0.0000000000,0.0000000000,1723.3579140241,10800.0000000000,833.3333333333,809.1577910000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-11,0.0000000000,0.0000000000,1446.9879433852,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-12,0.0000000000,0.0000000000,1716.7678305556,10800.0000000000,833.3333333333,813.4312818333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-13,0.0000000000,0.0000000000,1655.8087926333,10800.0000000000,833.3333333333,637.9376166667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-14,0.0000000000,0.0000000000,1859.6230789722,10800.0000000000,833.3333333333,655.4149666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-15,0.0000000000,0.0000000000,2055.5355587037,10800.0000000000,833.3333333333,822.0582310000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-16,0.0000000000,0.0000000000,1830.4140140741,10800.0000000000,833.3333333333,830.3105060000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-17,0.0000000000,0.0000000000,1785.4661531482,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-18,0.0000000000,0.0000000000,1905.5202664815,10800.0000000000,833.3333333333,805.9109536667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-19,0.0000000000,0.0000000000,1787.6740533333,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-20,0.0000000000,0.0000000000,2325.5036401241,10800.0000000000,833.3333333333,636.1150000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-21,0.0000000000,0.0000000000,2340.9609331889,10800.0000000000,833.3333333333,667.4907000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-22,0.0000000000,0.0000000000,2070.0229846296,10800.0000000000,833.3333333333,797.6738578333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-23,0.0000000000,0.0000000000,2013.0409711111,10800.0000000000,833.3333333333,802.3856995000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-24,0.0000000000,0.0000000000,1500.0000000000,10800.0000000000,833.3333333333,798.8183158333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-25,0.0000000000,0.0000000000,1977.2191087037,10800.0000000000,833.3333333333,803.1283990000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-26,0.0000000000,0.0000000000,1794.0752246296,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-27,0.0000000000,0.0000000000,2093.2460474407,10800.0000000000,833.3333333333,641.4883333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-28,0.0000000000,0.0000000000,2379.6859026259,10800.0000000000,833.3333333333,628.0102833333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-29,0.0000000000,0.0000000000,2076.3602924074,10800.0000000000,833.3333333333,788.4047173333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-06-30,0.0000000000,0.0000000000,1989.2365079630,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-01,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-02,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-03,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-04,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,779.2083333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-05,0.0000000000,0.0000000000,1244.4443251259,10800.0000000000,833.3333333333,741.9765333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-06,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-07,0.0000000000,0.0000000000,1408.8386738130,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-08,0.0000000000,0.0000000000,1663.4397050000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-09,0.0000000000,0.0000000000,1859.4793718519,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-10,0.0000000000,0.0000000000,1556.3244051852,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-11,0.0000000000,0.0000000000,1783.0412265667,10800.0000000000,833.3333333333,740.9250666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-12,0.0000000000,0.0000000000,1609.4379022222,10800.0000000000,833.3333333333,726.9878333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
