date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend,solve_seconds
2025-04-07,96,6525.5710468958,6479.3726449421,37131.7646471623,37131.7646471623,0.0000000000,62279.0021193983,0.0000000000,5318.7736952816,19784.6721186405,16067.1629778571,0,0,0,37150.8240545461,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0456447400
2025-04-08,97,6479.3726449421,6016.3368716278,39176.4911479209,37266.9936706554,1909.4974772655,62715.4217490729,316.4642351252,5120.1088928724,20922.7140560100,17364.1305813510,9,1,4,39367.5191286227,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0484228040
2025-04-09,98,6016.3368716278,6080.7035597907,44790.2198647665,37015.6438129238,7774.5760518427,62374.9607075059,1146.5147720276,436.6169364768,20487.4605633862,16536.9130369962,6,1,1,44763.6650299722,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0493285630
2025-04-10,99,6080.7035597907,6502.4716809185,38479.3113984095,38479.3113984095,0.0000000000,64695.0681931492,0.0000000000,5833.1630701495,21166.7153367616,16765.4481137619,0,0,0,38305.3086168820,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0479082710
2025-04-11,100,6502.4716809185,6321.5426632294,14152.1785065298,14152.1785065298,0.0000000000,28062.9423075067,0.0000000000,19889.1136522631,15894.8137078798,13037.6352193029,0,0,0,14226.8217779387,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0394802670
2025-04-12,101,6321.5426632294,6850.6485390429,14929.6826940594,14929.6826940594,0.0000000000,29422.0596719269,0.0000000000,17023.5481033245,15248.1880545802,11874.8370359779,0,0,0,14711.3971255155,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0396709950
2025-04-13,102,6850.6485390429,6686.1204346111,37411.1038019300,37411.1038019300,0.0000000000,62960.3552516281,0.0000000000,5012.7628115955,20101.6276351993,16430.3936785000,0,0,0,37478.9807854583,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0468235070
2025-04-14,103,6686.1204346111,6176.7298366103,36662.4727976463,36662.4727976463,0.0000000000,61803.9553115882,0.0000000000,6002.5559439192,19641.1531887881,16367.7856211190,0,0,0,36872.6247187993,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0481751660
2025-04-15,104,6176.7298366103,6433.6335636042,37123.6913724553,37123.6913724553,0.0000000000,62668.4835711376,0.0000000000,8658.4163490888,19154.8686022155,15284.2302135000,0,0,0,37017.7043126410,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0482611670
2025-04-16,105,6433.6335636042,6191.4749692751,35882.1835352725,35882.1835352725,0.0000000000,60505.8177489659,0.0000000000,1178.0815031834,19821.5106877825,16273.3663920000,0,0,0,35982.0874086885,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0485814100
2025-04-17,106,6191.4749692751,6665.6545125463,37152.5473057617,37152.5473057617,0.0000000000,62650.0885363377,0.0000000000,5553.0402687313,20010.2333087493,15781.5273911429,0,0,0,36956.9219008544,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0522081960
