strategy,period,days,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_slot_frequency,emergency_day_frequency,events,daily_cvar90,daily_cvar95,worst_day,initial_soc,terminal_soc,inventory_value_rate,adjusted_cost,sensitivity_target,inventory_valuation
fused,full334,334,13800481.0153518394,13215446.8648381121,585034.1505137293,21591579.2653795555,97139.8374152211,2531597.7854563855,6414831.2772763232,5196899.4549045982,835,0.0173611111,0.3982035928,234,66254.8816042316,70286.6677474242,99139.2934276590,6000.0000000000,5015.4218769157,0.0000000000,13800481.0153518394,4800.0000000000,zero
fused,full334,334,13800481.0153518394,13215446.8648381121,585034.1505137293,21591579.2653795555,97139.8374152211,2531597.7854563855,6414831.2772763232,5196899.4549045982,835,0.0173611111,0.3982035928,234,66254.8816042316,70286.6677474242,99139.2934276590,6000.0000000000,5015.4218769157,0.4125555556,13800887.2085263971,4800.0000000000,replacement
fused,full334,334,13800481.0153518394,13215446.8648381121,585034.1505137293,21591579.2653795555,97139.8374152211,2531597.7854563855,6414831.2772763232,5196899.4549045982,835,0.0173611111,0.3982035928,234,66254.8816042316,70286.6677474242,99139.2934276590,6000.0000000000,5015.4218769157,1.2556800000,13801717.3304094337,4800.0000000000,avoidance_upper
ridge_h1_replan,full334,334,13654512.9666768387,13297768.3739249427,356744.5927518975,21757808.0162525028,57868.0852209733,2662517.2003123178,6394427.8318971731,5180458.4257026799,532,0.0110612109,0.3532934132,193,63134.8843590938,65655.7438372399,83186.3801099611,6000.0000000000,4920.1312600333,0.0000000000,13654512.9666768387,4800.0000000000,zero
ridge_h1_replan,full334,334,13654512.9666768387,13297768.3739249427,356744.5927518975,21757808.0162525028,57868.0852209733,2662517.2003123178,6394427.8318971731,5180458.4257026799,532,0.0110612109,0.3532934132,193,63134.8843590938,65655.7438372399,83186.3801099611,6000.0000000000,4920.1312600333,0.4125555556,13654958.4725247826,4800.0000000000,replacement
ridge_h1_replan,full334,334,13654512.9666768387,13297768.3739249427,356744.5927518975,21757808.0162525028,57868.0852209733,2662517.2003123178,6394427.8318971731,5180458.4257026799,532,0.0110612109,0.3532934132,193,63134.8843590938,65655.7438372399,83186.3801099611,6000.0000000000,4920.1312600333,1.2556800000,13655868.9362562392,4800.0000000000,avoidance_upper
baseline,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,0.0000000000,13820986.5765312836,6000.0000000000,zero
baseline,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,0.4125555556,13820935.7074200138,6000.0000000000,replacement
baseline,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,1.2556800000,13820831.7481093202,6000.0000000000,avoidance_upper
fused,full334,334,13814070.3959080074,13228827.4480108209,585242.9478971860,21628043.6070000865,97169.8315604442,2553323.3940071752,6487203.6078504156,5254503.0582637284,835,0.0173611111,0.3982035928,234,66276.1020038211,70311.3488196085,99237.2319364772,6000.0000000000,6146.5156612315,0.0000000000,13814070.3959080074,6000.0000000000,zero
fused,full334,334,13814070.3959080074,13228827.4480108209,585242.9478971860,21628043.6070000865,97169.8315604442,2553323.3940071752,6487203.6078504156,5254503.0582637284,835,0.0173611111,0.3982035928,234,66276.1020038211,70311.3488196085,99237.2319364772,6000.0000000000,6146.5156612315,0.4125555556,13814009.9500579908,6000.0000000000,replacement
fused,full334,334,13814070.3959080074,13228827.4480108209,585242.9478971860,21628043.6070000865,97169.8315604442,2553323.3940071752,6487203.6078504156,5254503.0582637284,835,0.0173611111,0.3982035928,234,66276.1020038211,70311.3488196085,99237.2319364772,6000.0000000000,6146.5156612315,1.2556800000,13813886.4191225115,6000.0000000000,avoidance_upper
ridge_h1_replan,full334,334,13667441.2120527849,13310756.9571952373,356684.2548575480,21793083.2393817417,57851.6962715379,2684082.7459570477,6461051.3397933049,5233388.6450637374,532,0.0110612109,0.3532934132,193,63156.1185016869,65682.5900694660,83280.6290271474,6000.0000000000,6069.9335209333,0.0000000000,13667441.2120527849,6000.0000000000,zero
