date,issue,estimated_gain,accepted,up_kwh,down_kwh
2025-04-18,12,-4150.7301046174,False,0.0000000000,0.0000000000
2025-04-18,18,-5283.2328506742,False,0.0000000000,0.0000000000
2025-04-19,6,402.9071661806,True,0.0000000000,0.0000000000
2025-04-19,12,124.0911823431,False,574.2040092043,0.0000000000
2025-04-19,18,3017.1997084347,True,107.0011573514,0.0000000000
2025-04-20,6,6355.7286665798,True,1286.2265524430,0.0000000000
2025-04-20,12,7811.8499244726,True,1534.2342584944,8.9478285320
2025-04-20,18,2096.1200099125,True,0.0000000000,70.4531560339
2025-04-21,6,1388.4605556512,True,0.0000000000,3872.1552238361
2025-04-21,12,312.9383902845,True,52.6971658150,0.0000000000
2025-04-21,18,2375.5091920407,True,175.8840492259,0.0000000000
2025-04-22,6,15707.5649501634,True,3126.6532795149,0.0000000000
2025-04-22,12,475.3216055894,True,0.0000000000,398.0871266079
2025-04-22,18,2900.9876034875,True,321.2232450586,0.0000000000
2025-04-23,6,18316.2128499776,True,3972.0696031334,0.0000000000
2025-04-23,12,3773.9529463807,True,705.0825573878,0.0000000000
2025-04-23,18,5423.6835826787,True,238.1389751086,0.0000000000
2025-04-24,6,-109.3331763783,False,0.0000000000,0.0000000000
2025-04-24,12,-1903.5891498353,False,973.5171036604,0.0000000000
2025-04-24,18,-8223.6187736780,False,413.0456337118,10.5591956543
2025-04-25,6,117.4260465898,False,0.0000000000,0.0000000000
2025-04-25,12,-7228.7346899042,False,0.0000000000,354.1938838213
2025-04-25,18,-10656.3476497530,False,453.9664489702,0.0000000000
2025-04-26,6,945.8572374681,True,395.2094442263,0.0000000000
2025-04-26,12,2021.3401799271,True,285.4912025514,0.0000000000
2025-04-26,18,2726.1979715712,True,141.0555323834,0.0000000000
2025-04-27,6,5905.7395907596,True,1275.9481716354,0.0000000000
2025-04-27,12,1543.7570544098,True,246.0013332968,258.7728323113
2025-04-27,18,11675.1723085526,True,1081.3879513298,0.0000000000
2025-04-28,6,8179.3995099850,True,1776.7625239956,0.0000000000
2025-04-28,12,2526.9280468253,True,418.6678547342,888.9911868670
2025-04-28,18,3758.1139837553,True,10.0446693814,0.0000000000
2025-04-29,6,936.3629232649,True,247.1265266278,548.1187913127
2025-04-29,12,4776.7450510845,True,687.5797771202,492.4413828939
2025-04-29,18,4899.9393739710,True,0.0000000000,348.4667353728
2025-04-30,6,2223.9274294377,True,653.2510610959,21.8255826589
2025-04-30,12,8100.1514329493,True,1516.9108052206,0.0000000000
2025-04-30,18,1107.4123219914,True,0.0000000000,13.9612167241
2025-05-01,6,4610.7962767188,True,1328.5850631961,167.7350249126
2025-05-01,12,-3731.6964765176,False,0.0000000000,57.4691896739
2025-05-01,18,1805.7794259057,True,1566.9981926227,0.0000000000
2025-05-02,6,198.7796740666,False,77.0463310921,0.0000000000
2025-05-02,12,-7821.9921843718,False,0.0000000000,56.8024702015
2025-05-02,18,-8758.1398883971,False,1376.4357333756,0.0000000000
2025-05-03,6,269.2156145024,True,0.0000000000,128.5334916356
2025-05-03,12,-2265.2558345902,False,59.0711635923,0.0000000000
2025-05-03,18,4944.0837927735,True,2038.9046767879,0.0000000000
2025-05-04,6,1001.3690659110,True,66.5003302568,1971.5304214485
2025-05-04,12,1600.9292523523,True,0.0000000000,1123.0422742334
2025-05-04,18,13070.8978068978,True,1750.4285680918,0.0000000000
2025-05-05,6,401.0437187519,True,0.0000000000,68.2432729548
2025-05-05,12,655.6350405483,True,0.0000000000,509.7362809657
2025-05-05,18,9065.7780972771,True,2040.0277206822,0.0000000000
2025-05-06,6,13369.1088815561,True,3279.1339768268,0.0000000000
2025-05-06,12,8762.0237280987,True,1067.4160510137,0.0000000000
2025-05-06,18,8338.1374322157,True,1424.9770971082,0.0000000000
2025-05-07,6,13440.4949546886,True,2910.8221368991,0.0000000000
2025-05-07,12,3620.0986179947,True,94.2468080724,0.0000000000
2025-05-07,18,7854.8042374283,True,1670.3108190811,0.0000000000
2025-05-08,6,774.4401176742,True,118.1273517687,1257.3798609183
2025-05-08,12,880.5687136148,True,122.2330238276,108.6279061427
2025-05-08,18,-4638.5031161729,False,1401.3859667314,0.0000000000
2025-05-09,6,1449.8575599601,True,495.6229591907,0.0000000000
2025-05-09,12,-1962.4418362554,False,108.1549399346,0.0000000000
2025-05-09,18,-8351.4854103797,False,754.2064889576,0.0000000000
2025-05-10,6,2596.2713239988,True,648.7589132295,0.0000000000
2025-05-10,12,-1831.6578769657,False,0.0000000000,180.0164041085
2025-05-10,18,6334.2993949840,True,287.8112858299,0.0000000000
2025-05-11,6,5100.8661769250,True,1079.3598964140,0.0000000000
2025-05-11,12,2435.4892298409,True,196.9374704175,122.3762270433
2025-05-11,18,8104.1712305221,True,1271.9999968106,0.0000000000
2025-05-12,6,30019.7045656746,True,6170.8187112855,0.0000000000
2025-05-12,12,487.5297727526,True,0.0000000000,1233.9915528237
2025-05-12,18,11258.3882437404,True,1302.7293590573,0.0000000000
2025-05-13,6,1634.7270136563,True,107.2402572680,4826.2520854503
2025-05-13,12,11272.3140697980,True,1578.4570859922,0.0000000000
2025-05-13,18,8394.7646170508,True,1427.8417313450,0.0000000000
2025-05-14,6,14331.6942228842,True,2971.5869574644,0.0000000000
2025-05-14,12,1422.3069799970,True,0.0000000000,3515.4449873200
2025-05-14,18,5786.8596261116,True,746.2862006050,0.0000000000
2025-05-15,6,12693.7744617291,True,2763.9126793728,0.0000000000
2025-05-15,12,-2517.5287238525,False,0.0000000000,2073.1541767460
2025-05-15,18,-11684.5258209208,False,0.0000000000,542.8950427062
2025-05-16,6,446.1133763976,True,165.0237592887,13.8227416858
2025-05-16,12,-5738.2536025078,False,0.0000000000,416.3982451219
2025-05-16,18,-7761.6635654071,False,0.0000000000,364.0485316817
2025-05-17,6,489.4779795555,True,231.2819722293,228.3138584518
2025-05-17,12,-440.9743325539,False,230.3228425277,0.0000000000
2025-05-17,18,1681.7391736160,True,510.3409714298,0.0000000000
