window,decay,slope,weekday,samples,mae,rmse
21,7.00000000,0.20000000,0.10000000,3456,0.04090800,0.05171137
21,14.00000000,0.05000000,0.10000000,3456,0.04012205,0.05181972
28,14.00000000,1000000.00000000,0.40000000,3456,0.04079016,0.05205368
21,14.00000000,1000000.00000000,0.40000000,3456,0.04079266,0.05205444
42,14.00000000,1000000.00000000,0.40000000,3456,0.04079230,0.05205625
56,14.00000000,1000000.00000000,0.40000000,3456,0.04079230,0.05205625
21,28.00000000,1.00000000,0.40000000,3456,0.04104050,0.05206494
42,28.00000000,0.20000000,0.40000000,3456,0.04198005,0.05336245
56,28.00000000,0.20000000,0.40000000,3456,0.04198005,0.05336245
28,28.00000000,0.20000000,0.40000000,3456,0.04201225,0.05338329
42,7.00000000,0.05000000,0.10000000,3456,0.04252184,0.05426564
56,7.00000000,0.05000000,0.10000000,3456,0.04252184,0.05426564
28,7.00000000,0.05000000,0.10000000,3456,0.04253159,0.05427413
21,28.00000000,0.20000000,0.40000000,3456,0.04277008,0.05430299
21,7.00000000,0.05000000,0.10000000,3456,0.04291659,0.05474214
42,14.00000000,1.00000000,0.40000000,3456,0.04323721,0.05491251
56,14.00000000,1.00000000,0.40000000,3456,0.04323721,0.05491251
28,14.00000000,1.00000000,0.40000000,3456,0.04326974,0.05493825
42,28.00000000,0.05000000,0.40000000,3456,0.04328609,0.05524604
56,28.00000000,0.05000000,0.40000000,3456,0.04328609,0.05524604
28,28.00000000,0.05000000,0.40000000,3456,0.04331840,0.05526626
21,14.00000000,1.00000000,0.40000000,3456,0.04389135,0.05569063
21,28.00000000,0.05000000,0.40000000,3456,0.04410053,0.05618426
42,14.00000000,0.20000000,0.40000000,3456,0.04501109,0.05720250
56,14.00000000,0.20000000,0.40000000,3456,0.04501109,0.05720250
28,14.00000000,0.20000000,0.40000000,3456,0.04504307,0.05722787
21,14.00000000,0.20000000,0.40000000,3456,0.04581794,0.05813009
42,14.00000000,0.05000000,0.40000000,3456,0.04640496,0.05907027
56,14.00000000,0.05000000,0.40000000,3456,0.04640496,0.05907027
28,14.00000000,0.05000000,0.40000000,3456,0.04643691,0.05909499
21,14.00000000,0.05000000,0.40000000,3456,0.04724686,0.06001021
28,7.00000000,1000000.00000000,0.40000000,3456,0.04763815,0.06110326
42,7.00000000,1000000.00000000,0.40000000,3456,0.04763953,0.06110484
56,7.00000000,1000000.00000000,0.40000000,3456,0.04763953,0.06110484
21,7.00000000,1000000.00000000,0.40000000,3456,0.04766391,0.06113466
42,7.00000000,1.00000000,0.40000000,3456,0.05097921,0.06505843
56,7.00000000,1.00000000,0.40000000,3456,0.05097921,0.06505843
28,7.00000000,1.00000000,0.40000000,3456,0.05100294,0.06508538
21,7.00000000,1.00000000,0.40000000,3456,0.05139584,0.06556571
42,7.00000000,0.20000000,0.40000000,3456,0.05328924,0.06806665
56,7.00000000,0.20000000,0.40000000,3456,0.05328924,0.06806665
28,7.00000000,0.20000000,0.40000000,3456,0.05331825,0.06809795
