date,day_index,issue,perturbation,max_plan_diff_kwh,passed
2025-07-04,184,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-04,184,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-04,184,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-04,184,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-06,186,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-06,186,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-06,186,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-06,186,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-07,187,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-07,187,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-07,187,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-07,187,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-13,193,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-13,193,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-13,193,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-13,193,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-21,201,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-21,201,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-21,201,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-21,201,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-28,208,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-28,208,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-28,208,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-07-28,208,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-04,215,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-04,215,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-04,215,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-04,215,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-11,222,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-11,222,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-11,222,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-11,222,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-18,229,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-18,229,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-18,229,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-18,229,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-25,236,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-25,236,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-25,236,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-08-25,236,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-01,243,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-01,243,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-01,243,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-01,243,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-08,250,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-08,250,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-08,250,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-08,250,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-15,257,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-15,257,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-15,257,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-15,257,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-22,264,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-22,264,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-22,264,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-22,264,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-29,271,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-29,271,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-29,271,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-09-29,271,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-06,278,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-06,278,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-06,278,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-06,278,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-14,286,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-14,286,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-14,286,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-14,286,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-21,293,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-21,293,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-21,293,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-21,293,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-28,300,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-28,300,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-28,300,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-10-28,300,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-04,307,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-04,307,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-04,307,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-04,307,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-11,314,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-11,314,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-11,314,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-11,314,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-18,321,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-18,321,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-18,321,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-18,321,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-25,328,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-25,328,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-25,328,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-11-25,328,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-02,335,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
