date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-05-31,11935.2974100000,12030.9284080000,0.0000000000,0.0000000000,2810.3732440000,2578.5717390000,1718.7512500000,0.5663550000,11664.8780150000,11632.9989590000,0.0000000000,0.0000000000,2210.4599510000,2287.7321060000,1479.6326000000,-397.9294490000,False,False
2025-06-01,62916.4897500000,61092.1154090000,3120.7361910000,518.3214520000,2578.5717390000,7000.7018420000,1200.0000000000,0.8191810000,63750.0773030000,61615.4297690000,4545.0368910000,735.0592180000,2287.7321060000,7461.9383560000,1200.0000000000,523.3143600000,False,False
2025-06-02,55186.9327220000,56761.8955550000,1805.6214810000,350.7754990000,7000.7018420000,3183.1242770000,1200.0000000000,0.8099460000,55210.0823960000,56802.9648870000,2611.9774080000,493.0825640000,7461.9383560000,3600.9250470000,1200.0000000000,41.0693320000,False,False
2025-06-03,54059.0043980000,54796.9140130000,93.4477320000,13.1997640000,3183.1242770000,1394.4933750000,1394.4933750000,0.8062830000,54368.2160710000,54730.4545000000,0.0000000000,0.0000000000,3600.9250470000,2722.8895340000,1421.6581730000,-66.4595130000,False,False
2025-06-04,56572.4934060000,56652.7327290000,2618.0261840000,718.8370180000,1394.4933750000,1200.0000000000,1200.0000000000,0.8136590000,55320.6693510000,55948.9458890000,2567.6613530000,651.8000720000,2722.8895340000,1200.0000000000,1200.0000000000,-703.7868400000,False,False
2025-06-05,58962.2430780000,58696.3486600000,2045.9914060000,668.0899600000,1200.0000000000,1844.5057260000,1200.0000000000,0.8220690000,59433.3051570000,59171.2093890000,2102.2669640000,603.5149510000,1200.0000000000,1835.2981170000,1200.0000000000,474.8607290000,False,False
2025-06-06,22154.4611340000,22420.3555520000,414.6514330000,223.4642340000,1844.5057260000,1200.0000000000,1200.0000000000,0.6492830000,22095.6137430000,22357.7095100000,1161.1817380000,600.2709390000,1835.2981170000,1200.0000000000,1200.0000000000,-62.6460420000,False,False
2025-06-07,21269.1784820000,21096.4625840000,156.8769790000,81.3280660000,1200.0000000000,1618.6488250000,1200.0000000000,0.6502880000,21265.6970030000,21095.2881180000,7.1617400000,3.7703290000,1200.0000000000,1613.0568180000,1200.0000000000,-1.1744660000,False,False
2025-06-08,52070.5792110000,51090.0634570000,112.2333310000,16.3486280000,1618.6488250000,3995.3366200000,1348.5220410000,0.7970790000,52519.8203220000,51128.5153450000,0.0000000000,0.0000000000,1613.0568180000,4985.4631720000,1558.9757960000,38.4518880000,False,False
2025-06-09,53700.3149930000,54413.7646190000,51.9218730000,7.4133600000,3995.3366200000,2265.9946770000,1455.0544160000,0.8192560000,52613.1780130000,53721.3158620000,0.0000000000,0.0000000000,4985.4631720000,2299.4301420000,1454.8653770000,-692.4487570000,False,False
2025-06-10,54278.4101900000,54718.1922160000,1905.3115580000,503.6452080000,2265.9946770000,1200.0000000000,1200.0000000000,0.8168180000,55433.4180220000,55885.4137340000,1806.6240590000,296.6283420000,2299.4301420000,1203.8305160000,1200.0000000000,1167.2215180000,False,False
2025-06-11,59319.0646890000,59100.6776800000,1578.9528960000,388.5263240000,1200.0000000000,1729.3517580000,1200.0000000000,0.8316970000,58839.7430070000,58607.9535740000,38.1328740000,16.2364920000,1203.8305160000,1765.6686260000,1200.0000000000,-492.7241060000,False,False
2025-06-12,54640.1773320000,54460.4337190000,3.3443580000,0.4646880000,1729.3517580000,2165.0351730000,1355.9079910000,0.8219830000,54472.7069170000,54276.5856000000,0.0000000000,0.0000000000,1765.6686260000,2241.0502190000,1345.8433550000,-183.8481190000,False,False
2025-06-13,18316.7360870000,18347.0828510000,0.0000000000,0.0000000000,2165.0351730000,2091.4771660000,1614.6361930000,0.6400290000,19533.5269610000,19611.6127890000,0.0000000000,0.0000000000,2241.0502190000,2051.7767340000,1451.2724770000,1264.5299380000,False,False
2025-06-14,18439.0291870000,18757.7572490000,55.5422690000,18.9287880000,2091.4771660000,1318.9071270000,1200.0000000000,0.6368670000,19124.6138630000,19389.7901090000,176.1523290000,58.6890410000,2051.7767340000,1409.0117950000,1200.0000000000,632.0328600000,False,False
2025-06-15,54505.3168600000,53898.7603970000,0.0000000000,0.0000000000,1318.9071270000,2789.1490260000,1318.9071270000,0.8178270000,53497.8436770000,52884.8722100000,0.0000000000,0.0000000000,1409.0117950000,2894.8031230000,1409.0117950000,-1013.8881870000,False,False
2025-06-16,54871.3132280000,55206.7593030000,430.8235460000,63.6567540000,2789.1490260000,1976.0559270000,1388.9567730000,0.8232420000,54117.5778790000,54522.6803810000,80.6515440000,11.9501440000,2894.8031230000,1912.8686970000,1239.7385720000,-684.0789220000,False,False
2025-06-17,58041.1739310000,57654.0465520000,716.0707940000,114.6937860000,1976.0559270000,2914.4201650000,1200.0000000000,0.8286260000,56948.5249890000,56300.1534430000,665.3416880000,120.1277850000,1912.8686970000,3484.4668430000,1200.0000000000,-1353.8931090000,False,False
