origin,grid_size,iteration,weekday,initial_soc,objective,initial_soc_dual,cut_slope,cut_intercept
2025-02-01,17,1,5,3000.0,28121.740662079403,-0.4780000111111111,-0.4780000111111111,29555.740695412736
2025-02-01,17,1,5,3600.0,27834.973988746064,-0.47788889999999995,-0.47788889999999995,29555.374028746064
2025-02-01,17,1,5,4200.0,27548.373982079396,-0.4770000111111111,-0.4770000111111111,29551.774028746062
2025-02-01,17,1,5,4800.0,27262.17397541273,-0.4770000111111111,-0.4770000111111111,29551.774028746062
2025-02-01,17,1,5,5400.0,26976.5073020794,-0.4761111222222222,-0.4761111222222222,29547.5073620794
2025-02-01,17,1,5,6000.0,26691.140628746067,-0.47544445555555553,-0.47544445555555553,29543.8073620794
2025-02-01,17,1,5,6600.0,26406.10728874607,-0.47466667777777777,-0.47466667777777777,29538.9073620794
2025-02-01,17,1,5,7200.0,26121.323948746067,-0.47455556666666665,-0.47455556666666665,29538.124028746068
2025-02-01,17,1,5,7800.0,25836.59060874607,-0.47455556666666665,-0.47455556666666665,29538.12402874607
2025-02-01,17,1,5,8400.0,25551.990602079408,-0.4743333444444444,-0.4743333444444444,29536.39069541274
2025-02-01,17,1,5,9000.0,25268.44059541274,-0.4720000111111111,-0.4720000111111111,29516.44069541274
2025-02-01,17,1,5,9600.0,24985.340588746072,-0.47166667777777777,-0.47166667777777777,29513.34069541274
2025-02-01,17,1,5,10200.0,24711.20724874607,-0.41255556666666665,-0.41255556666666665,28919.27402874607
2025-02-01,17,1,5,10800.0,24463.67390874607,-0.384479991,-0.384479991,28616.05781154607
2025-02-01,17,1,4,1200.0,29052.451537971225,-0.47900001111111107,-0.47900001111111107,29627.25155130456
2025-02-01,17,1,4,1800.0,28765.051531304565,-0.47900001111111107,-0.47900001111111107,29627.251551304566
2025-02-01,17,1,4,2400.0,28477.6515246379,-0.47900001111111107,-0.47900001111111107,29627.251551304566
2025-02-01,17,1,4,3000.0,28190.701517971236,-0.4780000111111111,-0.4780000111111111,29624.70155130457
2025-02-01,17,1,4,3600.0,27903.9348446379,-0.47788889999999995,-0.47788889999999995,29624.3348846379
2025-02-01,17,1,4,4200.0,27617.334837971233,-0.4770000111111111,-0.4770000111111111,29620.7348846379
2025-02-01,17,1,4,4800.0,27331.13483130457,-0.4770000111111111,-0.4770000111111111,29620.734884637903
2025-02-01,17,1,4,5400.0,27045.46815797124,-0.4761111222222222,-0.4761111222222222,29616.46821797124
2025-02-01,17,1,4,6000.0,26760.101484637908,-0.47544445555555553,-0.47544445555555553,29612.76821797124
2025-02-01,17,1,4,6600.0,26475.06814463791,-0.47466667777777777,-0.47466667777777777,29607.86821797124
2025-02-01,17,1,4,7200.0,26190.2848046379,-0.47455556666666665,-0.47455556666666665,29607.0848846379
2025-02-01,17,1,4,7800.0,25905.551464637905,-0.47455556666666665,-0.47455556666666665,29607.084884637905
2025-02-01,17,1,4,8400.0,25620.95145797124,-0.4743333444444444,-0.4743333444444444,29605.351551304575
2025-02-01,17,1,4,9000.0,25337.401451304573,-0.4720000111111111,-0.4720000111111111,29585.401551304574
2025-02-01,17,1,4,9600.0,25054.30144463791,-0.47166667777777777,-0.47166667777777777,29582.301551304576
2025-02-01,17,1,4,10200.0,24780.1681046379,-0.41255556666666665,-0.41255556666666665,28988.234884637903
2025-02-01,17,1,4,10800.0,24532.634764637904,-0.384209991,-0.384209991,28682.102667437903
2025-02-01,17,1,3,1200.0,65498.34069602766,-0.47900001111111107,-0.47900001111111107,66073.14070936099
2025-02-01,17,1,3,1800.0,65210.940689361,-0.47900001111111107,-0.47900001111111107,66073.140709361
2025-02-01,17,1,3,2400.0,64923.54068269432,-0.47900001111111107,-0.47900001111111107,66073.14070936099
2025-02-01,17,1,3,3000.0,64636.590676027656,-0.4780000111111111,-0.4780000111111111,66070.59070936099
2025-02-01,17,1,3,3600.0,64349.824002694324,-0.47788889999999995,-0.47788889999999995,66070.22404269432
2025-02-01,17,1,3,4200.0,64063.22399602765,-0.4770000111111111,-0.4770000111111111,66066.62404269431
2025-02-01,17,1,3,4800.0,63777.02398936098,-0.4770000111111111,-0.4770000111111111,66066.62404269431
