policy,day,date,initial_soc,terminal_soc,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,reference_terminal_soc,terminal_value,lp_objective,solve_seconds,lp_eq_residual,lp_ineq_violation,balance_residual,soc_residual,history_min_day,history_max_day,window,half_life,reserve_ratio,warmup_scenario_days,warmup_mode
dual_terminal_g17,18,2025-01-19,2126.6679276455043,1919.340595952383,61652.45181350679,67.60264214285613,61720.054455649646,96148.94977101705,11.638571428571254,3001.585206025881,24539.2540435626,20063.39037380952,1,1,1,1200.0,1980.2666666666669,65430.79067742432,0.037161616000048525,4.547473508864641e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,17,21,14,0.5,11,deployed_saa
dual_terminal_g17,19,2025-01-20,1919.340595952383,2092.6838705026503,61512.868439525206,425.14759436904865,61938.01603389425,96030.34329462082,73.47925476190494,3160.921604027052,24841.133938212814,19965.30954285714,3,1,1,1200.0,1980.2666666666669,65351.52335526323,0.04263889999992898,4.547473508864641e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,18,21,14,0.5,12,deployed_saa
dual_terminal_g17,20,2025-01-21,2092.6838705026503,2316.69646846561,61712.94474539989,0.0,61712.94474539989,96172.66041075837,0.0,8207.342337801298,22567.379218195172,18077.96582857143,0,0,0,1200.0,1980.2666666666669,65365.166906791346,0.041477718999999524,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,19,21,14,0.5,13,deployed_saa
dual_terminal_g17,21,2025-01-22,2316.69646846561,1651.7151484920655,61101.81351797639,0.0,61101.81351797639,95028.50260288066,0.0,2146.726414259604,24113.131631213655,20130.119809259253,0,0,0,1200.0,1980.2666666666669,64746.28685144964,0.042484806000061326,4.547473508864641e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,20,21,14,0.5,14,deployed_saa
dual_terminal_g17,22,2025-01-23,1651.7151484920655,1924.9679945649643,61414.12235699738,0.0,61414.12235699738,95800.81628399635,0.0,1242.9101363283098,24979.226243170684,19987.245695502643,0,0,0,1200.0,1980.2666666666669,65117.78499319855,0.04705061799995747,2.2737367544323206e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,21,21,14,0.5,15,deployed_saa
dual_terminal_g17,23,2025-01-24,1924.9679945649643,2099.7158759582594,26247.476381530276,0.0,26247.476381530276,49845.833866976944,0.0,6053.45305170489,20029.971431674174,16067.003766402115,0,0,0,1200.0,1980.2666666666669,29590.214745260677,0.05210871999997835,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.473222123939195e-13,7,22,21,14,0.5,16,deployed_saa
dual_terminal_g17,24,2025-01-25,2099.7158759582594,2176.6916560464465,26061.540878871623,0.0,26061.540878871623,49361.82418468874,0.0,7076.155804526751,19877.972165347182,16031.87925185185,0,0,0,1200.0,1980.2666666666669,29423.17976575815,0.05316651800001182,4.547473508864641e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,23,21,14,0.5,17,deployed_saa
dual_terminal_g17,25,2025-01-26,2176.6916560464465,2004.0911599353362,60031.35779460336,0.0,60031.35779460336,93751.29133089686,0.0,1660.2344440721236,23933.722631533732,19541.655778042325,0,0,0,1200.0,1980.2666666666669,63852.91396108325,0.05439347599997291,0.0,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,24,21,14,0.5,18,deployed_saa
dual_terminal_g17,26,2025-01-27,2004.0911599353362,1850.833568527342,60002.0274518004,0.0,60002.0274518004,93980.89299483637,0.0,5658.830096828668,22447.77866811352,18320.632553439147,0,0,0,1200.0,1980.2666666666669,63866.11907472369,0.07661816699999235,4.547473508864641e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,25,21,14,0.5,19,deployed_saa
dual_terminal_g17,27,2025-01-28,1850.833568527342,1836.6389674338636,59362.57988767309,3.9617331166675207,59366.54162078976,93339.09821974982,0.6782047619049081,1619.3680761023054,25014.653277509948,20274.644295767193,1,1,1,1200.0,1980.2666666666669,63205.356009128365,0.05913512200004334,9.094947017729282e-13,1.1368683772161603e-13,5.684341886080802e-14,8.881784197001252e-13,7,26,21,14,0.5,20,deployed_saa
dual_terminal_g17,28,2025-01-29,1836.6389674338636,2240.5735194397457,60104.90513637788,0.0,60104.90513637788,94286.4374834852,0.0,8387.903886297932,21841.00763358939,17327.675086402112,0,0,0,1200.0,1980.2666666666669,63889.86217595345,0.05628275100002611,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,7.958078640513122e-13,7,27,21,14,0.5,21,deployed_saa
dual_terminal_g17,29,2025-01-30,2240.5735194397457,1921.3961297198737,59003.6455183792,0.0,59003.6455183792,92717.81438459076,0.0,4762.37464982201,23684.82422201743,19471.96727058201,0,0,0,1200.0,1980.2666666666669,62735.8358810195,0.06127881600002638,4.547473508864641e-13,1.1368683772161603e-13,5.684341886080802e-14,8.633094239485217e-13,8,28,21,14,0.5,21,deployed_saa
dual_terminal_g17,30,2025-01-31,1921.3961297198737,2284.266416365375,24150.18556706231,0.0,24150.18556706231,46238.932179422554,0.0,3306.649724508461,20217.769194384993,16049.809789470899,0,0,0,1200.0,1980.2666666666669,27385.687622893376,0.06342987899995478,4.547473508864641e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,9,29,21,14,0.5,21,deployed_saa
