month,weekday,soc,relative_future_cost
2,0,8700.0,-1281.1000300000105
2,0,8850.0,-1351.900031666678
2,0,9000.0,-1422.7000333333444
2,0,9150.0,-1493.500035000011
2,0,9300.0,-1564.3000366666774
2,0,9450.0,-1635.0500383333501
2,0,9600.0,-1705.8000400000165
2,0,9750.0,-1776.5500416666837
2,0,9900.0,-1847.30004333335
2,0,10050.0,-1918.0500450000154
2,0,10200.0,-1979.9333800000159
2,0,10350.0,-2041.8167150000154
2,0,10500.0,-2103.700050000016
2,0,10650.0,-2165.5833850000154
2,0,10800.0,-2227.466720000012
3,6,1200.0,2292.3500533333427
3,6,1350.0,2220.500051666676
3,6,1500.0,2148.6500500000093
3,6,1650.0,2076.8000483333426
3,6,1800.0,2004.9500466666764
3,6,1950.0,1933.1000450000097
3,6,2100.0,1861.250043333343
3,6,2250.0,1789.4000416666763
3,6,2400.0,1717.5500400000096
3,6,2550.0,1645.700038333343
3,6,2700.0,1574.000036666666
3,6,2850.0,1502.3000349999993
3,6,3000.0,1430.6000333333325
3,6,3150.0,1358.9000316666659
3,6,3300.0,1287.2000300000047
3,6,3450.0,1215.5166950000048
3,6,3600.0,1143.8333600000049
3,6,3750.0,1072.150025000005
3,6,3900.0,1000.4666900000047
3,6,4050.0,928.7833550000048
3,6,4200.0,857.2333533333322
3,6,4350.0,785.6833516666652
3,6,4500.0,714.1333499999987
3,6,4650.0,642.5833483333322
3,6,4800.0,571.0333466666693
3,6,4950.0,499.61667833333604
3,6,5100.0,428.20001000000275
3,6,5250.0,356.78334166666946
3,6,5400.0,285.36667333333617
3,6,5550.0,213.95000500000288
3,6,5700.0,142.63333666666495
3,6,5850.0,71.31666833333156
3,6,6000.0,-1.3642420526593924e-12
3,6,6150.0,-71.31666833333475
3,6,6300.0,-142.63333666666813
3,6,6450.0,-213.83333833334382
3,6,6600.0,-285.0333400000104
3,6,6750.0,-356.233341666677
3,6,6900.0,-427.4333433333436
3,6,7050.0,-498.6333450000102
3,6,7200.0,-569.8166800000172
3,6,7350.0,-641.0000150000169
3,6,7500.0,-712.1833500000171
3,6,7650.0,-783.3666850000172
3,6,7800.0,-854.550020000017
3,6,7950.0,-925.7000216666875
3,6,8100.0,-996.8500233333543
3,6,8250.0,-1068.0000250000207
3,6,8400.0,-1139.1500266666876
3,6,8550.0,-1210.300028333354
3,6,8700.0,-1281.100030000025
3,6,8850.0,-1351.9000316666925
3,6,9000.0,-1422.700033333359
3,6,9150.0,-1493.5000350000255
3,6,9300.0,-1564.300036666692
3,6,9450.0,-1635.0500383333647
3,6,9600.0,-1705.800040000031
