alpha0,alpha_update,full_adjusted_cost,none_adjusted_cost,saving,beats_none
0.8000000000,0.7500000000,13491937.7342584729,14101938.1753663085,610000.4411078356,True
0.8000000000,0.8000000000,13541499.3557049986,14101938.1753663085,560438.8196613099,True
0.8500000000,0.5000000000,13783920.3427228220,14141410.7135343589,357490.3708115369,True
0.8500000000,0.5500000000,13697220.8107530810,14141410.7135343589,444189.9027812779,True
0.8500000000,0.6000000000,13633206.9443166535,14141410.7135343589,508203.7692177054,True
0.8500000000,0.6500000000,13591494.4447509982,14141410.7135343589,549916.2687833607,True
0.8500000000,0.7000000000,13571406.1837620363,14141410.7135343589,570004.5297723226,True
0.8500000000,0.7500000000,13574880.0996675547,14141410.7135343589,566530.6138668042,True
0.8500000000,0.8000000000,13607863.3940123320,14141410.7135343589,533547.3195220269,True
0.9000000000,0.5000000000,13931998.7441608123,14266327.8836939856,334329.1395331733,True
0.9000000000,0.5500000000,13847091.9264686704,14266327.8836939856,419235.9572253153,True
0.9000000000,0.6000000000,13781174.8935216293,14266327.8836939856,485152.9901723564,True
0.9000000000,0.6500000000,13734605.5732295066,14266327.8836939856,531722.3104644790,True
0.9000000000,0.7000000000,13707573.9838805534,14266327.8836939856,558753.8998134322,True
0.9000000000,0.7500000000,13700881.8072732091,14266327.8836939856,565446.0764207765,True
0.9000000000,0.8000000000,13722179.9002306350,14266327.8836939856,544147.9834633507,True
