parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
weekday,0.1,0.00625,13472607.5632778928,13472691.8473596498,348318.2743675644,71514.6541631196,686605.5977430232,684339.5393311924,12542557.2162818462,816792.6318250794,-235060.5591965968,20541817.3954205662,20544083.4538323991,61907.2649452300,64293.3700450072,1316.3572861007
reserve,0.25,0.0,13391209.0398014411,13391287.5692425296,318274.6806794152,67177.6631473007,605668.3874573088,716281.2035855418,12604096.5297327004,710431.2478668033,-241593.4184774782,20639161.2875799313,20528548.4714516997,61602.7206641701,63669.9662753418,1330.3060515234
reserve,0.5,0.0,13401499.8886572309,13401578.1961143725,331346.7261757064,70400.2309181065,603847.9017766305,717064.3785840161,12603609.6687679999,708411.1232244185,-241867.6295108930,20638029.2120014317,20524812.7351940461,61602.7206641701,63671.9839364266,1330.8441219597
up,1.2,1.5,13243829.6182135716,13243905.2183311060,311147.5493460015,65111.3568019183,608260.6544327133,716351.4621871880,12604193.6876976304,570156.6321382873,-241668.2509683470,20639386.4746581316,20531295.6669036560,61255.6944983981,62991.8597528229,1337.4064856750
up,1.8,1.5,13528390.4546730705,13528469.2060981058,311271.7201502384,65255.1916372186,606713.3960730126,715974.4174718646,12604469.5360480919,854135.7562326405,-241486.5577578981,20640029.0972318500,20530768.0758329965,62089.4885814878,64586.9198491872,1329.7679810871
emergency,3.0,5.0,13261555.6098552439,13261634.3612802792,186796.0114061413,65261.9023347013,606724.0361670256,715987.0182991556,12604467.4515826106,711786.5135552799,-241494.3666887868,20640024.2149294093,20530761.2327972800,61347.3672246045,62926.8219056974,1329.7679810871
emergency,7.0,5.0,13510616.9583967645,13510695.7098218016,435857.3599476629,65261.9023347013,606724.0361670256,715987.0182991556,12604467.4515826106,711786.5135552799,-241494.3666887868,20640024.2149294093,20530761.2327972800,61808.2901687548,64650.9785946029,1329.7679810871
forecast_scale,0.9,1.0,13356741.4500899352,13356820.2015149705,317935.2919135899,66629.2012880429,585573.1646796290,653147.7363675642,12564588.6795323640,695220.7221320013,-221003.2434880195,20585904.9713488631,20518330.3996609300,61638.6609910424,63715.5069553023,1329.7679810871
forecast_scale,1.1,1.0,13444104.2738954537,13444183.0253204890,317145.9348801712,66342.1531244019,634080.5050231612,783911.0220660889,12649362.1131601445,741191.4663709288,-263595.2405157917,20701013.9615476541,20551183.4445047267,61838.9288079782,63750.6835878602,1329.7679810871
correction,0.0,1.0,13596306.8282383736,13596388.5386038329,615496.9193324940,129258.4990027739,510586.7096257827,642559.2075188982,12595110.2957409211,584134.5620623736,-198434.9488974136,20617514.0930838399,20485541.5951907188,62106.0310336292,67797.1453727370,1322.5957581405
threshold,20.0,0.0,13429842.5959374346,13429921.3473624699,352290.9619112490,72375.9899888211,606754.6434031887,675210.6712513274,12600033.8704465181,700463.8258417933,-222946.0622621248,20629016.0187424868,20560559.9908943474,61602.7206641701,63667.7639757932,1329.7679810871
threshold,100.0,0.0,13429784.6673893593,13429863.4188143946,352211.3789097035,72361.7427927556,606768.7427453568,675210.6712513274,12600034.2090793215,700485.1416624606,-222946.0622621248,20629016.8075447306,20560574.8790387623,61602.7206641701,63667.7639757932,1329.7679810871
interpolate,hold,linear,13430338.2364372518,13430416.9878622890,317019.2402877476,66565.0627127494,612303.3801226326,717749.3531070022,12627777.8769412488,723696.3678630560,-238155.2486548002,20674327.3144529760,20568881.3414686024,61849.4536903559,63434.5388587244,1329.7679810871
epsilon,1e-08,1e-07,13386086.2841260061,13386165.0355510395,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.4515826106,711786.5135552799,-241494.3666887868,20640024.2149294093,20530761.2327972800,61602.7206641701,63667.7639757932,1329.7679810871
epsilon,1e-06,1e-07,13386086.2841260061,13386165.0355510395,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.4515826106,711786.5135552799,-241494.3666887868,20640024.2149294093,20530761.2327972800,61602.7206641701,63667.7639757932,1329.7679810871
settlements,legacy_gross,net_refund,13448630.1525725499,13448710.5029163100,226705.0631684772,50544.9480817082,564741.2428093426,0.0000000000,12581841.7790162936,640083.3103877783,0.0000000000,20586685.1059703305,21151426.3487796709,61764.7457413962,63828.0362263769,1325.8923364510
settlements,stepwise,net_refund,13555574.6412207820,13555653.3926458210,310558.7480838849,64652.3165476495,853399.9443731867,958314.8066527104,12603071.2031636611,968070.9199789374,-326126.2300056971,20636776.8020840958,20531861.9398045689,61990.4781297977,64230.6964475431,1329.7679810871
terminal,fixed_target,inventory_value,13369439.5092994943,13367611.0819403268,286616.1922244699,52123.3560569064,581804.7261079045,731062.5705036260,12632529.8208661433,695430.4632668128,-245136.9670579337,20756995.6442893520,20607737.7998936325,61513.7415132636,63550.7036328667,5952.6090955025
horizon,day,rolling24,13396279.5257346220,13396358.2771596573,322628.5512130009,67863.5255181281,606724.0361670256,722512.2311085346,12606331.5230404623,711786.5135552799,-244467.0620741218,20644377.2072480954,20528589.0123065859,61604.4968821172,63680.7872887734,1329.7679810871
