parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,cost_change_yuan,cost_change_percent
forecast_scale,0.9,1.0,13356741.450089935,13356820.20151497,317935.2919135899,66629.2012880429,585573.164679629,653147.7363675642,12564588.679532364,695220.7221320013,-221003.2434880195,20585904.971348863,20518330.399660926,61638.6609910424,63715.5069553023,1329.7679810871,-29344.834036070853,-0.21921892189556294
forecast_scale,1.1,1.0,13444104.273895452,13444183.025320487,317145.9348801712,66342.1531244019,634080.5050231612,783911.0220660889,12649362.113160145,741191.4663709288,-263595.2405157917,20701013.961547658,20551183.444504727,61838.9288079782,63750.6835878602,1329.7679810871,58017.98976944573,0.43342010904446965
correction,0.0,1.0,13596306.828238372,13596388.538603831,615496.919332494,129258.4990027739,510586.7096257827,642559.2075188982,12595110.29574092,584134.5620623736,-198434.9488974136,20617514.09308384,20485541.59519072,62106.0310336292,67797.145372737,1322.5957581405,210220.5441123657,1.5704406773595756
threshold,20.0,0.0,13429842.595937435,13429921.347362468,352290.961911249,72375.9899888211,606754.6434031887,675210.6712513274,12600033.870446518,700463.8258417933,-222946.0622621248,20629016.018742487,20560559.990894347,61602.7206641701,63667.7639757932,1329.7679810871,43756.31181142852,0.32687905099877684
threshold,100.0,0.0,13429784.66738936,13429863.418814395,352211.3789097035,72361.7427927556,606768.7427453568,675210.6712513274,12600034.20907932,700485.1416624606,-222946.0622621248,20629016.807544727,20560574.87903876,61602.7206641701,63667.7639757932,1329.7679810871,43698.38326335326,0.3264462990588468
interpolate,hold,linear,13430338.236437252,13430416.987862287,317019.2402877476,66565.0627127494,612303.3801226326,717749.3531070022,12627777.876941249,723696.367863056,-238155.2486548002,20674327.314452976,20568881.3414686,61849.4536903559,63434.5388587244,1329.7679810871,44251.952311245725,0.3305817053018868
epsilon,1e-08,1e-07,13386086.284126006,13386165.03555104,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61602.7206641701,63667.7639757932,1329.7679810871,0.0,0.0
epsilon,1e-06,1e-07,13386086.284126006,13386165.03555104,311326.6856769021,65261.9023347013,606724.0361670256,715987.0182991556,12604467.45158261,711786.5135552799,-241494.3666887868,20640024.21492941,20530761.23279728,61602.7206641701,63667.7639757932,1329.7679810871,0.0,0.0
settlements,legacy_gross,net_refund,13448630.152572548,13448710.50291631,226705.0631684772,50544.9480817082,564741.2428093426,0.0,12581841.779016292,640083.3103877783,0.0,20586685.105970327,21151426.34877967,61764.7457413962,63828.0362263769,1325.892336451,62543.86844654195,0.4672304295596098
settlements,stepwise,net_refund,13555574.641220782,13555653.39264582,310558.7480838849,64652.3165476495,853399.9443731867,958314.8066527104,12603071.20316366,968070.9199789374,-326126.2300056971,20636776.802084096,20531861.93980457,61990.4781297977,64230.6964475431,1329.7679810871,169488.35709477589,1.2661531794828258
terminal,fixed_target,inventory_value,13369439.509299494,13367611.081940327,286616.1922244699,52123.3560569064,581804.7261079045,731062.570503626,12632529.820866143,695430.4632668128,-245136.9670579337,20756995.644289352,20607737.799893633,61513.7415132636,63550.7036328667,5952.6090955025,-16646.77482651174,-0.12435878921722211
horizon,day,rolling24,13396279.525734622,13396358.277159655,322628.5512130009,67863.5255181281,606724.0361670256,722512.2311085346,12606331.523040462,711786.5135552799,-244467.0620741218,20644377.207248095,20528589.012306582,61604.4968821172,63680.7872887734,1329.7679810871,10193.241608615965,0.07614803455064904
