date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error
2025-07-21,54318.7840139130,825.5311289962,-1171.5920284579,0.0000000000,53972.7231144514,53775.4981957130,85109.1088843463,0.0000000000,527.7384362876,3727.3362623035,20130.2593022282,15875.2590674520,3664.7614735542,2307.0799625675,2785.1365929595,0.0000000000,0.0000000000
2025-07-22,53409.5453060655,2247.7440770275,-1680.1062916173,810.9635784261,54788.1466699018,55233.7844067006,82794.8161759200,118.4687953756,2736.1970569196,4391.0974979585,18443.8506376588,15911.6886012249,4931.0778771560,2785.1365929595,1704.9481654914,0.0000000000,0.0000000000
2025-07-23,60868.2696439650,423.1484656562,-4641.5458880573,307.0916333787,56956.9638549426,56895.0495706385,94415.6621206476,45.4987278619,328.7578549800,13170.7873911087,21299.4790812279,17117.5105354975,3220.6156499837,1704.9481654914,1855.0231880438,0.0000000000,0.0000000000
2025-07-24,60071.6002464215,312.5259700638,-4356.2412089572,0.0000000000,56027.8850075281,55852.4804698784,93074.9257707646,0.0000000000,245.2800277128,12679.7207389913,19574.7732798030,15472.9170824788,2922.1568621620,1855.0231880438,2280.1890482234,0.0000000000,0.0000000000
2025-07-25,26681.2336062080,315.6159815167,-1121.8179140585,0.0000000000,25875.0316736662,25964.5464005785,43680.6981818310,0.0000000000,215.3279738446,2280.6698125196,12386.9306883030,10228.6924161006,12951.7985042869,2280.1890482234,2063.2128720288,0.0000000000,0.0000000000
2025-07-26,26668.1669700552,299.5547666858,-1018.3819178411,610.2776533085,26559.6174722083,26618.2429671333,44228.4763251489,87.4824617701,265.3252694573,2035.6133999483,12996.0947929244,10654.7297283748,11735.2140252119,2063.2128720288,1921.1095985776,0.0000000000,0.0000000000
2025-07-27,53940.5181098471,726.3306046187,-1931.5771335230,0.0000000000,52735.2715809428,52766.2833637691,84679.1478201669,0.0000000000,570.8344185325,5915.2046053130,20953.3387971775,17039.8573858251,1736.1064220339,1921.1095985776,1845.9396428984,0.0000000000,0.0000000000
2025-07-28,55641.1853001023,1015.7635575097,-912.8530639424,0.0000000000,55744.0957936696,55466.1054479892,87416.7133696386,0.0000000000,701.3475650580,2327.2422416839,21473.3817163072,16786.9964754200,3149.5562187922,1845.9396428984,2519.7648815527,0.0000000000,0.0000000000
2025-07-29,54705.7351047770,2473.4260755410,-1347.7061487972,707.9413704060,56539.3964019267,56652.7815044953,85391.4750716260,106.9108299588,2579.2742140509,3120.7613523021,19570.0539053935,16099.0960282502,5416.6949361903,2519.7648815527,2244.9289205733,0.0000000000,0.0000000000
2025-07-30,50315.3299615348,5530.4497938319,-852.9086545319,0.0000000000,54992.8711008348,54968.8121799232,78256.6313267577,0.0000000000,5878.5096272931,1750.8362339749,20511.5689263318,16561.8857079523,4331.3674516965,2244.9289205733,2303.2457232137,0.0000000000,0.0000000000
2025-07-31,52153.7418458534,2063.3381900153,-730.6563223543,0.0000000000,53486.4237135143,53528.3948833608,81839.1507518511,0.0000000000,1811.0809016563,1690.0389729706,20761.6428673923,16908.4918526056,3412.0453990836,2303.2457232137,2201.5111343050,0.0000000000,0.0000000000
2025-08-01,26431.8595166611,439.1300713946,-1132.7187886556,0.0000000000,25738.2707994001,25566.6688314756,43216.3205340111,0.0000000000,251.5076083125,2391.0717136115,12569.2811052406,9806.7638196218,17062.8794764266,2201.5111343050,2617.4598849974,0.0000000000,0.0000000000
2025-08-02,26826.5718919797,229.6941522338,-1377.2589082213,0.0000000000,25679.0071359922,25868.6274029950,43617.4368401805,0.0000000000,150.3694848808,2998.1459265326,12142.5985345648,10249.1660472346,17949.2029778653,2617.4598849974,2157.8362914005,0.0000000000,0.0000000000
2025-08-03,45006.4924125309,590.4036193378,-689.6292428083,266.7935915670,45174.0603806274,45388.4161626058,69031.7835480942,39.5900516659,397.3170377321,1812.3450525308,18144.8163944232,15164.9236425383,1836.9728497432,2157.8362914005,1638.2558880056,0.0000000000,0.0000000000
2025-08-04,48255.7167552401,1641.4072712784,-1222.9963143891,0.0000000000,48674.1277121294,48267.7281952369,73993.2429215282,0.0000000000,1158.6617241501,3138.9722314479,19081.8681159416,14569.7427223025,2085.1519372580,1638.2558880056,2623.3341675724,0.0000000000,0.0000000000
2025-08-05,46325.7558563529,937.5057410275,-422.6456097876,0.0000000000,46840.6159875929,47037.3519326032,71214.1207277774,0.0000000000,959.7158305943,1148.0083582720,17884.4827569388,14915.6152923673,2904.6510021948,2623.3341675724,2146.4627684092,0.0000000000,0.0000000000
2025-08-06,51785.8502792924,413.0862969718,-2475.9275229312,0.0000000000,49723.0090533331,50014.5498318635,79030.6351775205,0.0000000000,344.3133321430,6209.3700747414,18593.3839288909,15696.6442967288,2154.4395360933,2146.4627684092,1439.7924191568,0.0000000000,0.0000000000
2025-08-07,50839.0205475622,1257.3613133185,-2981.7893480527,757.3376069341,49871.9301197621,49901.5385925389,81009.1142707978,109.3711934575,935.5865824907,10695.9642739197,18742.7983484928,15246.2582673134,4473.5824416469,1439.7924191568,1368.0239691188,0.0000000000,0.0000000000
2025-08-08,24387.1720987295,609.8445690416,-509.5962091366,0.0000000000,24487.4204586345,24300.3167990938,41339.9293948437,0.0000000000,374.2485866211,1005.7091633827,13492.4864456576,10520.7428272633,21961.5539496879,1368.0239691188,1821.5475176958,0.0000000000,0.0000000000
2025-08-09,24216.8362243296,826.9049050830,-598.0041410130,0.0000000000,24445.7369883996,24532.0079628192,40484.0777806610,0.0000000000,449.9255718901,1130.3388583231,12611.7369353887,10403.7091511145,18673.7077099538,1821.5475176958,1612.4339249739,0.0000000000,0.0000000000
2025-08-10,47193.8531942568,383.0414389045,-887.0798822632,44.0796424437,46733.8943933418,46760.2078357450,72734.5973469848,6.5356427376,284.5633355641,2140.3840228033,18273.8699896821,14859.2381076043,2166.0613704054,1612.4339249739,1548.6523516831,0.0000000000,0.0000000000
2025-08-11,44980.2032272553,2093.7477247024,-1075.4341009937,4861.5413758439,50860.0582268079,50988.0888905905,70964.5991366449,723.8102765369,1740.8907235139,2985.8309724312,19471.8425819848,16051.4945050461,2461.8677539925,1548.6523516831,1238.3167809738,0.0000000000,0.0000000000
2025-08-12,48417.2600650181,1890.4287498489,-1089.3024751014,73.0699110500,49291.4562508156,49009.7133247140,76759.4652306037,10.8694549721,1361.8894729663,4454.2178781597,18595.0409521580,14447.3541108056,1769.7757890299,1238.3167809738,1921.2379592431,0.0000000000,0.0000000000
2025-08-13,43856.6354586445,3331.3044248806,-184.1152666901,447.4718841862,47451.2965010213,47533.9274083870,68739.6669442084,65.9878822724,3411.0346833963,394.9521673958,18505.2565643853,15169.5191556014,2365.0204836974,1921.2379592431,1720.9475831884,0.0000000000,0.0000000000
2025-08-14,45658.7128221190,2500.8423759988,-585.1480267927,318.1232670917,47892.5304384168,47888.3007384955,70415.1752853896,46.5484955248,2991.2664567513,1613.0866494519,20532.9229347141,16622.4403836461,2003.1300538125,1720.9475831884,1731.2000203798,0.0000000000,0.0000000000
