parameter,value,alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
emergency,7.0000000000,0.7071000000,0.7357000000,864748.9131576075,864740.3802531603,1428.4483178303,180.6844378801,22660.5238993968,31340.2706744154,846528.2347902213,26842.8636632872,-10050.6336137312,1368679.0898090908,1359999.3430340723,63696.3826536982,64386.2293173939,2036.4292636275
emergency,7.0000000000,0.7071000000,0.7857000000,873036.7377341876,872958.2517419644,1028.4333699255,128.6542937975,30255.2327123590,30189.2588362686,845445.4538086379,35988.2503469417,-9425.3997913176,1366167.4197056731,1366233.3935817636,64328.4541780853,65379.4245256862,2205.9896703021
emergency,7.0000000000,0.7071000000,0.8357000000,885879.0163725581,885706.0088716233,617.6236833481,77.6585319315,42756.0360451564,30379.7482027850,843811.7724092441,50701.9197923625,-9252.2995123965,1362377.2253619584,1374753.5132043299,65155.8460630014,66660.3162451348,2435.1018648630
emergency,7.0000000000,0.7071000000,0.8857000000,912123.1754943184,911824.1156125830,145.1503566871,17.8495009391,66411.3978252799,33136.0422522191,841180.5893466874,80610.5547618082,-9813.1189708643,1356268.9791772247,1389544.3347502856,67783.2200362945,70804.2514683047,2740.6422438572
emergency,7.0000000000,0.7071000000,0.9357000000,977178.8419101528,976617.5801575817,0.0000000000,0.0000000000,119999.6737202786,44336.2985667919,836203.0661138438,153196.6817228505,-12220.9059265414,1344699.6306915162,1420363.0058450031,71777.9428160400,74743.2144429339,3376.1975461786
emergency,7.0000000000,0.7571000000,0.6357000000,859618.8203901536,859671.7615417572,3686.6227303424,498.2908859160,7916.2487850644,47829.5413623711,862530.8193768476,10045.4977904144,-16644.1195074506,1392481.0927701122,1352567.8001928055,63042.2343246633,63068.5291072464,1887.4213173689
emergency,7.0000000000,0.7571000000,0.6857000000,862206.0942515115,862207.1158999157,2459.3690816265,330.5968584455,10517.9608543366,44174.8051111630,861786.4137943314,12973.3347033404,-15013.0233277867,1390754.3342859645,1357097.4900291378,63193.2712700948,63405.8068667283,2013.2698303756
emergency,7.0000000000,0.7571000000,0.7357000000,866343.0093957522,866282.0260391305,1408.7611099510,180.6844378801,14368.6464359102,40813.4834683028,861069.1116002265,17373.6461847111,-13508.5094991365,1389090.4461066443,1362645.6090742520,63659.0899327015,64069.5893344568,2163.5647523343
emergency,7.0000000000,0.7571000000,0.7857000000,873532.5484217599,873440.2524851892,1028.4333699255,128.6542937975,20571.4039680919,38198.0605386577,860182.2257462791,24588.6662888833,-12266.7769833280,1387033.1836293829,1369406.5270588170,64258.0266343075,65043.2363968274,2239.4638149633
emergency,7.0000000000,0.7571000000,0.8357000000,884656.0118364815,884482.7052275526,617.6236833481,77.6585319315,30410.3756277698,36746.6583766005,858654.2670719610,36848.2694888091,-11464.1484076365,1383488.2283126116,1377151.9455637811,65078.7092365774,66349.9120655822,2435.8268775067
emergency,7.0000000000,0.7571000000,0.8857000000,910405.9733588659,910106.9134771305,145.1503566871,17.8495009391,53614.9114094872,38779.5622677428,856053.0408216799,65869.9655245069,-11662.1833440079,1377449.4707751235,1392284.8199168681,67755.1270387367,70498.3558871510,2740.6422438572
emergency,7.0000000000,0.7571000000,0.9357000000,975111.9260136338,974550.6642610629,0.0000000000,0.0000000000,106949.2932695405,49671.4852212197,851077.5807937679,138023.3019316513,-13988.9567117854,1365884.9054072793,1423162.7134556002,71617.6426614725,74437.6411826503,3376.1975461786
emergency,7.0000000000,0.8071000000,0.6357000000,865309.9694966869,865334.7351688056,3662.7451211338,496.1269202586,3066.2337297362,62645.4009636030,879582.5543806256,4424.7136819654,-22360.0436870379,1416315.1391409214,1356735.9719070545,63410.3316882134,63494.6374177485,1955.7163120805
emergency,7.0000000000,0.8071000000,0.6857000000,867167.5106755503,867146.8515487702,2449.0640829078,330.2683807884,4715.4876333012,58357.9626484740,878813.0607806405,6346.7251116675,-20441.3392996654,1414530.1853019395,1360887.7102867665,63414.3682422862,63593.1777554578,2065.8222076061
emergency,7.0000000000,0.8071000000,0.7357000000,870237.3132985624,870148.8272426788,1392.3978870772,180.6844378801,7135.0985581367,54165.4090586154,878238.9064707232,9204.4440827169,-18598.4351419552,1413198.3497419371,1366168.0392414583,63762.1653677490,63868.7742472055,2230.2289843181
emergency,7.0000000000,0.8071000000,0.7857000000,875919.6772420726,875798.9724811786,982.4879269103,123.0361865335,11283.0250736755,50031.3165139778,877425.0717046229,14192.0932504873,-16679.9756399479,1411310.5400316599,1372562.2485913578,64347.5280159901,64633.7177897292,2308.3244179555
emergency,7.0000000000,0.8071000000,0.8357000000,885344.8171556849,885167.8851623861,617.6236833481,77.6585319315,18844.9326221072,45689.7838232048,876156.4187621835,23198.5692636581,-14627.7945535049,1408367.0880384117,1381522.2368373142,65133.2667096095,65914.8370847289,2444.6145045818
emergency,7.0000000000,0.8071000000,0.8857000000,908207.0671760887,907907.9496966036,145.1503566871,17.8495009391,38122.2338055645,45374.2418595308,873673.2228512932,48242.8573418387,-13854.1633737304,1402602.0767114947,1395350.0686575288,67585.7546658900,70056.6546235394,2740.7818559620
