day,generation,best,mean
2025-05-29,64,44204.4489587084,48264.2922163118
2025-05-29,65,44204.4489587084,48026.7261332733
2025-05-29,66,44075.7998405629,48118.0838594587
2025-05-29,67,44075.7998405629,47964.3564244557
2025-05-29,68,44075.7998405629,47661.1069550915
2025-05-29,69,44075.7998405629,48162.3460946719
2025-05-29,70,44075.7998405629,47690.9705615399
2025-05-29,71,44075.7998405629,47492.6886255246
2025-05-29,72,43736.2942223419,47794.8850590078
2025-05-29,73,43736.2942223419,47625.9930505276
2025-05-29,74,43736.2942223419,47933.1489291395
2025-05-29,75,43478.2126794385,47298.5983507059
2025-05-29,76,43478.2126794385,46799.8579973264
2025-05-29,77,43478.2126794385,46907.1620057500
2025-05-29,78,43478.2126794385,47127.3092824417
2025-05-29,79,43478.2126794385,47190.4947349471
2025-05-29,80,43478.2126794385,47493.0039425249
2025-05-29,81,43478.2126794385,47309.7926798820
2025-05-29,82,43478.2126794385,47226.6364631098
2025-05-29,83,42970.9141637519,46577.9625274114
2025-05-29,84,42970.9141637519,47095.7208128791
2025-05-29,85,42970.9141637519,47050.8504477034
2025-05-29,86,42970.9141637519,47388.9900774703
2025-05-29,87,42970.9141637519,47704.1770034443
2025-05-29,88,42970.9141637519,47926.3435127879
2025-05-29,89,42970.9141637519,47522.0386031284
2025-05-29,90,42970.9141637519,47382.3328504957
2025-05-29,91,42970.9141637519,47458.9860831164
2025-05-29,92,42970.9141637519,47579.3189219357
2025-05-29,93,42970.9141637519,47214.4508072664
2025-05-29,94,42970.9141637519,47638.6968033741
2025-05-29,95,42970.9141637519,47509.8929702516
2025-05-29,96,42970.9141637519,47887.1880915919
2025-05-29,97,42970.9141637519,48197.1248558128
2025-05-29,98,42970.9141637519,47456.1751241900
2025-05-29,99,42970.9141637519,47235.5817631037
2025-05-29,100,42970.9141637519,46985.3038647342
2025-05-29,101,42970.9141637519,47408.2840003254
2025-05-29,102,42970.9141637519,47390.0105359049
2025-05-29,103,42970.9141637519,47609.8619951093
