month,weekday,soc,relative_future_cost
3,4,7200.0,-569.8166666666657
3,4,8400.0,-1139.1500000000015
3,4,9600.0,-1705.7999999999993
3,4,10800.0,-2227.4666666666635
3,3,1200.0,2292.350000000006
3,3,2400.0,1717.5500000000102
3,3,3600.0,1143.8333333333358
3,3,4800.0,571.0333333333401
3,3,6000.0,0.0
3,3,7200.0,-569.8166666666657
3,3,8400.0,-1139.1499999999942
3,3,9600.0,-1705.7999999999956
3,3,10800.0,-2227.46666666666
3,2,1200.0,2292.350000000006
3,2,2400.0,1717.550000000003
3,2,3600.0,1143.8333333333358
3,2,4800.0,571.0333333333328
3,2,6000.0,0.0
3,2,7200.0,-569.816666666673
3,2,8400.0,-1139.1500000000015
3,2,9600.0,-1705.7999999999956
3,2,10800.0,-2227.46666666666
3,1,1200.0,2292.3499999999913
3,1,2400.0,1717.5499999999884
3,1,3600.0,1143.8333333333285
3,1,4800.0,571.0333333333256
3,1,6000.0,0.0
3,1,7200.0,-569.816666666673
3,1,8400.0,-1139.1500000000087
3,1,9600.0,-1705.800000000003
3,1,10800.0,-2227.466666666667
3,0,1200.0,2292.350000000006
3,0,2400.0,1717.5499999999956
3,0,3600.0,1143.8333333333285
3,0,4800.0,571.0333333333328
3,0,6000.0,0.0
3,0,7200.0,-569.816666666673
3,0,8400.0,-1139.1500000000015
3,0,9600.0,-1705.800000000003
3,0,10800.0,-2227.46666666666
4,6,1200.0,2292.350000000006
4,6,2400.0,1717.5499999999956
4,6,3600.0,1143.8333333333285
4,6,4800.0,571.0333333333328
4,6,6000.0,0.0
4,6,7200.0,-569.816666666673
4,6,8400.0,-1139.1500000000015
4,6,9600.0,-1705.800000000003
4,6,10800.0,-2227.4666666666526
4,5,1200.0,2292.3499999999985
4,5,2400.0,1717.5499999999956
4,5,3600.0,1143.8333333333358
4,5,4800.0,571.0333333333328
4,5,6000.0,0.0
4,5,7200.0,-569.8166666666657
4,5,8400.0,-1139.1500000000015
4,5,9600.0,-1705.800000000003
4,5,10800.0,-2227.466666666667
4,4,1200.0,2292.3499999999985
4,4,2400.0,1717.550000000003
4,4,3600.0,1143.8333333333358
4,4,4800.0,571.0333333333328
4,4,6000.0,0.0
4,4,7200.0,-569.8166666666657
4,4,8400.0,-1139.1500000000015
4,4,9600.0,-1705.800000000003
4,4,10800.0,-2227.466666666667
4,3,1200.0,2292.350000000006
4,3,2400.0,1717.550000000003
4,3,3600.0,1143.8333333333358
4,3,4800.0,571.0333333333328
4,3,6000.0,0.0
4,3,7200.0,-569.8166666666657
4,3,8400.0,-1139.1500000000015
4,3,9600.0,-1705.800000000003
4,3,10800.0,-2227.466666666667
4,2,1200.0,2292.350000000013
4,2,2400.0,1717.550000000003
4,2,3600.0,1143.833333333343
4,2,4800.0,571.0333333333401
4,2,6000.0,0.0
4,2,7200.0,-569.8166666666657
4,2,8400.0,-1139.1499999999942
4,2,9600.0,-1705.7999999999956
4,2,10800.0,-2227.46666666666
4,1,1200.0,2292.350000000013
4,1,2400.0,1717.550000000003
4,1,3600.0,1143.833333333343
4,1,4800.0,571.0333333333401
4,1,6000.0,0.0
4,1,7200.0,-569.8166666666657
4,1,8400.0,-1139.1499999999942
4,1,9600.0,-1705.7999999999956
4,1,10800.0,-2227.46666666666
4,0,1200.0,2292.3499999999985
4,0,2400.0,1717.5499999999956
4,0,3600.0,1143.8333333333285
4,0,4800.0,571.0333333333256
4,0,6000.0,0.0
4,0,7200.0,-569.816666666673
4,0,8400.0,-1139.1500000000015
4,0,9600.0,-1705.800000000003
4,0,10800.0,-2227.466666666667
5,6,1200.0,2292.350000000006
5,6,2400.0,1717.550000000003
5,6,3600.0,1143.8333333333358
5,6,4800.0,571.0333333333401
5,6,6000.0,0.0
5,6,7200.0,-569.8166666666657
5,6,8400.0,-1139.1499999999942
5,6,9600.0,-1705.7999999999956
5,6,10800.0,-2227.466666666667
5,5,1200.0,2279.47451083333
5,5,2400.0,1707.6894126111074
5,5,3600.0,1137.4219613333335
5,5,4800.0,567.9358828333279
5,5,6000.0,0.0
5,5,7200.0,-554.5988126390876
5,5,8400.0,-1041.3967046624239
5,5,9600.0,-1517.4850977924216
5,5,10800.0,-1991.87270320909
5,4,1200.0,2281.943941932095
5,4,2400.0,1709.5633808456732
5,4,3600.0,1138.687337104937
5,4,4800.0,569.0803898950617
5,4,6000.0,0.0
5,4,7200.0,-566.2213552037065
5,4,8400.0,-1070.927951096015
5,4,9600.0,-1548.3758167426822
5,4,10800.0,-2023.0748103560145
5,3,1200.0,2292.350000000013
5,3,2400.0,1717.550000000003
5,3,3600.0,1143.8333333333285
5,3,4800.0,571.0333333333401
5,3,6000.0,0.0
5,3,7200.0,-569.8166666666657
5,3,8400.0,-1139.1499999999942
5,3,9600.0,-1705.800000000003
5,3,10800.0,-2227.4666666666526
5,2,1200.0,2292.350000000006
5,2,2400.0,1717.550000000003
5,2,3600.0,1143.8333333333285
5,2,4800.0,571.0333333333256
5,2,6000.0,0.0
5,2,7200.0,-569.8166666666657
5,2,8400.0,-1139.1500000000087
5,2,9600.0,-1705.800000000003
5,2,10800.0,-2227.46666666666
5,1,1200.0,2292.3500000000204
