alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.6000000000,0.5500000000,850266.2216006833,850475.2188861630,7978.2661690926,1568.6920576822,22708.5249049225,23666.2624507034,822974.7549152336,27121.4987632353,-7808.2982468781,1338053.4825131542,1337095.7449673733,63183.2082718919,63210.0394972297,1509.1543621076
0.6000000000,0.6000000000,850533.9040426263,850703.8941506947,3998.8442550835,818.7318696966,26742.3899310426,21832.6648512880,822303.8231147632,31263.6551714585,-7032.4184986791,1336497.1572974962,1341406.8823772506,62926.3987474847,63485.0890485821,1603.7044824148
0.6000000000,0.6500000000,854403.1332123572,854505.6681572291,2397.1212091017,478.5755061021,31885.8149758032,20743.1579082929,821362.5420094299,37158.4939367879,-6515.0239429623,1334313.7170160452,1345456.3740835558,63349.9208804323,63949.4227904255,1767.2101298075
0.6000000000,0.7000000000,860638.4533233354,860676.0858128724,1662.0217285765,310.1937825894,38856.2906525468,20389.8007936637,820271.2146399076,45031.4601540077,-6326.2431991565,1331782.2223059498,1350248.7121648327,63838.9279230027,64546.2071499131,1924.5282278453
0.6000000000,0.7500000000,868640.9353729390,868619.2682541158,1015.2508879623,179.4721518295,47570.7875380610,20514.0364996846,819314.6774542894,54559.0961152206,-6248.0890845334,1329563.3932973244,1356620.1443357009,64229.2928957516,65239.3372100447,2068.2654956180
0.6000000000,0.8000000000,879118.0780159883,879018.8367796756,683.6999483896,121.5862154984,57663.0175873226,20683.9075925272,817972.3317127466,66650.3249998645,-6188.2786450125,1326449.6244698074,1363428.7344646025,65009.5153059460,66338.5208002652,2256.2986379307
0.6500000000,0.5000000000,854539.1288299379,854733.0233161615,13757.4757386093,2643.7211062747,12696.5223152074,33105.2390951039,835213.1345870995,17018.6237790527,-11450.1052748236,1355847.4836906930,1335438.7669107965,63302.5168819140,63722.3442335562,1545.7622784296
0.6500000000,0.5500000000,850873.1087727019,851050.1090151451,7797.5484323518,1501.8606402882,14574.8577387598,29985.1508196865,834785.2617502862,18492.8521890471,-10202.5535989830,1354854.9695714321,1339444.6764905057,63092.2109964846,63098.8267711624,1586.7125057457
0.6500000000,0.6000000000,850695.3181279338,850831.1741191854,3922.0860176980,785.0067728199,17927.0098371208,27419.5146139321,834124.2700033453,21768.5900238740,-9119.6279169834,1353321.7017752347,1343829.1969984230,62725.7383697884,63247.2941476885,1686.4427133201
0.6500000000,0.6500000000,853914.4176053164,854004.1332251896,2349.5389823695,464.4209602888,22628.8679205770,25867.1672074405,833282.2808096837,26643.3919336280,-8360.7941203648,1351368.5837198843,1348130.2844330207,63093.7920598821,63658.0283176334,1798.2830964081
0.6500000000,0.7000000000,859587.9138221532,859623.5143571963,1631.5610931740,303.9281520299,28427.4712435020,24659.2170291772,832336.5871418975,33386.7347624704,-7766.9691753887,1349174.9078493528,1352943.1620636773,63595.1461051712,64252.5180246905,1929.4535147954
0.6500000000,0.7500000000,866894.3654971557,866871.5355017597,989.7471406135,174.0550855178,35948.8619811378,24022.4104376249,831410.9826455006,41936.3690720720,-7442.7333610302,1347027.8317732750,1358954.2833167878,64088.9378940583,64949.5055774714,2071.0842107156
0.6500000000,0.8000000000,877458.6001662780,877359.2039943961,662.0790992787,116.8338582919,46589.1442780634,24499.6781619059,830095.3495007246,54107.9208046166,-7406.7492383418,1343976.0267517581,1366065.4928679154,64751.5181434088,66049.4890749087,2256.6741887313
