method,policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
Ridge,H1_fixedQ_causal,10,1098493.5334786074,28128.414430255056,1126621.9479088625,4555.281526927542,246880.0566733659
Ridge,H1_fixedQ_causal,11,1263580.2259483712,1333.8416087627465,1264914.067557134,278.86403621082945,159962.60171467494
Ridge,H1_fixedQ_causal,12,1661020.0611689803,18181.90523365914,1679201.9664026396,3665.5289206433313,168918.7991747021
Ridge,H1_replan_SAA,2,1202944.496371993,1861.323541975998,1204805.8199139691,392.65735553333525,155892.54586924528
Ridge,H1_replan_SAA,3,1106035.0585525557,28206.88760507678,1134241.9461576326,4371.797719097606,222897.59234785129
Ridge,H1_replan_SAA,4,915579.8287748266,63846.66508638417,979426.4938612108,10109.317908404784,263515.47486538347
Ridge,H1_replan_SAA,5,959892.4365671413,33536.75551960914,993429.1920867504,5278.568823420829,338354.67064954765
Ridge,H1_replan_SAA,6,1299661.3188919232,100330.5795706405,1399991.8984625635,16303.003582475832,259363.40530121297
Ridge,H1_replan_SAA,7,1472506.4623440267,22062.184648026752,1494568.6469920534,3471.227573010822,294559.2878712413
Ridge,H1_replan_SAA,8,1281115.9914552008,14875.970835864759,1295991.9622910656,2407.824803888324,362850.74221815716
Ridge,H1_replan_SAA,9,1071885.2497892112,40718.67546929268,1112603.925258504,6306.939791006666,261962.0780205103
Ridge,H1_replan_SAA,10,1092691.9872584352,28128.414430255056,1120820.4016886903,4555.281526927542,232766.06915930004
Ridge,H1_replan_SAA,11,1255764.5330110996,1333.8416087627465,1257098.3746198623,278.86403621082945,141652.5104769897
Ridge,H1_replan_SAA,12,1652679.5941788252,21782.956541659318,1674462.5507204845,4376.213151561666,150268.36917760945
Ridge,H2_point,2,1185325.0202109776,8723.642634624082,1194048.6628456018,1499.9773325356582,133146.3759554678
Ridge,H2_point,3,1066467.7360513473,77706.17205420397,1144173.9081055513,12106.95733201177,176946.3748223666
Ridge,H2_point,4,826579.3856340924,363561.68622973905,1190141.0718638315,60604.33051692792,152757.6412160473
Ridge,H2_point,5,815468.6416697641,438321.7564867817,1253790.3981565458,69916.85037405412,175584.99119378085
Ridge,H2_point,6,1049822.2089608565,831268.2109830054,1881090.419943862,170399.37729496803,61758.258633299425
Ridge,H2_point,7,1324184.1514163597,264617.8956736187,1588802.0470899786,69051.50145362284,141222.83990483332
Ridge,H2_point,8,1255699.6885443763,47519.90743359721,1303219.5959779737,9760.705614808334,308840.9427254671
Ridge,H2_point,9,1019908.8545516321,225595.83758658374,1245504.6921382158,37347.82998217646,188287.02495885393
Ridge,H2_point,10,959930.6236411128,581520.354434549,1541450.9780756617,107093.09299564065,134007.73137280863
Ridge,H2_point,11,1100183.6230455432,620156.8804058677,1720340.503451411,109781.10639285941,35928.88724649076
Ridge,H2_point,12,1465160.9879212019,676354.3623561977,2141515.3502773996,120812.96732318297,6150.800928448563
Ridge,H3_quantile,2,1204750.1891510761,2986.710152421626,1207736.8993034977,580.261378365233,159267.95363436703
Ridge,H3_quantile,3,1090203.7163265026,40302.550929560195,1130506.267256063,6343.782239812788,200491.16110546573
Ridge,H3_quantile,4,889966.983484063,119026.96737742942,1008993.9508614923,19031.98980928353,223808.12337250737
Ridge,H3_quantile,5,936229.8603863013,53081.64084872191,989311.5012350233,8332.303970003986,301848.2741711232
Ridge,H3_quantile,6,1274605.7863893304,134319.13343660405,1408924.9198259346,22358.738663837554,223843.62515894836
Ridge,H3_quantile,7,1444270.0802100946,44841.65281882872,1489111.7330289234,7448.6600797048995,256050.12025523107
Ridge,H3_quantile,8,1230441.865510253,50438.97999273227,1280880.8455029852,7729.576867902193,281653.4596586732
Ridge,H3_quantile,9,1037463.1295845489,110175.31959870165,1147638.4491832505,17296.665293698177,215300.88944791476
Ridge,H3_quantile,10,1090915.1924087934,30540.581395139205,1121455.7738039326,4963.615481373033,228346.6070832556
Ridge,H3_quantile,11,1252276.6072032244,3287.814800685688,1255564.4220039102,678.6751023297829,135718.58850204747
Ridge,H3_quantile,12,1648934.636505892,21348.030876017612,1670282.6673819094,4337.984767600323,144805.65735004953
Ridge,H4_conditional,2,1198866.8987790027,3448.1649720997393,1202315.0637511024,660.6960460351162,150263.53145984598
Ridge,H4_conditional,3,1087490.6642984615,43625.628315890615,1131116.2926143522,6862.253093308325,196597.73955185825
Ridge,H4_conditional,4,891323.0490790794,112479.46336817167,1003802.512447251,18063.597990366918,224690.67197474296
Ridge,H4_conditional,5,919659.2723308447,68118.66081458106,987777.9331454257,10792.835087552407,284740.80292751675
