method,policy,period,days,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,events,solve_seconds,start_soc,end_soc,inventory_adjusted_cost,cvar90,cvar95,max_daily_cost,emergency_day_frequency,emergency_slot_frequency
ManualWeekly,H2_point,development153,153,5604722.544853658,1722891.9854974868,7327614.530351145,9130336.37003734,370528.7566373352,815091.8391708665,2859609.9054537644,2316279.3661999563,5364.0,1102.0,1.3755027470033383,6015.630148378306,6020.804834592593,7327612.3955056,87800.96958822146,98596.8184010761,119554.47421735461,0.9215686274509803,0.2434640522875817
ManualWeekly,H2_point,later61,61,2636860.47166433,853161.0421758953,3490021.513840226,4308015.39878985,152551.0875575276,53984.742685638776,1340553.7010473069,1085981.3016022353,1355.0,202.0,0.5616512410001633,6020.804834592593,5873.245108018521,3490082.3904252006,94041.85256420323,99560.35127703956,106131.16680975971,0.9836065573770492,0.1542577413479053
ManualWeekly,H3_quantile,full334,334,13240733.656842511,692758.7538516694,13933492.410694178,21647244.619621478,117911.27633711169,2592299.062672817,6492365.676845027,5258698.338525916,909.0,217.0,3.008385320999423,6000.0,6130.955242839815,13933438.384381216,67459.10714720462,72222.7065558646,96801.96061635703,0.3532934131736527,0.018899700598802395
ManualWeekly,H3_quantile,development153,153,6214699.174149061,441031.31559982954,6655730.4897488905,10020571.652886916,75229.49733262748,1410382.46454037,2864816.8455432737,2321840.9081141,626.0,136.0,1.36555003200192,7755.244733599865,6267.174484657698,6656344.401397148,65956.03220452597,75230.24303862218,96801.96061635703,0.4117647058823529,0.028413217138707335
ManualWeekly,H3_quantile,later61,61,2890641.9059967846,79122.8727593379,2969764.7787561216,4670841.44632148,15399.832605974541,280302.1873906455,1337117.6033567307,1083187.8560365883,88.0,32.0,0.5591571029985971,6267.174484657698,6130.955242839815,2969820.9767611073,71262.52436763237,76346.0489283775,81888.32842767693,0.29508196721311475,0.010018214936247723
Ridge,H0_fixed_SAA,full334,334,13407809.794837218,979304.391510036,14387114.186347254,22019558.70931468,260668.47947527096,3016046.255013787,6973639.1516289525,5648647.7128194515,9351.0,3985.0,15.802774007997641,6000.0,6000.0,14387114.186347254,64626.537581371515,66210.56102205713,76888.76203641377,0.9970059880239521,0.1944236526946108
Ridge,H0_fixed_SAA,development153,153,6271097.213746905,520169.4150039342,6791266.62875084,10186463.935571384,137668.98798897996,1589561.412430168,3116467.1730536725,2524338.410173475,4380.0,1764.0,7.076304099001618,6000.0,6000.0,6791266.62875084,62267.23009469587,65403.63095082813,76888.76203641377,0.9934640522875817,0.19880174291938998
Ridge,H0_fixed_SAA,later61,61,2924600.287117352,115878.19299748284,3040478.4801148344,4730432.83273561,31446.302040499988,339305.5551301565,1424022.2917330903,1153458.0563038036,1571.0,776.0,2.9981830309984616,6000.0,6000.0,3040478.4801148344,66355.93685804534,67395.0833102113,69539.97150577903,1.0,0.17884790528233152
Ridge,H1_fixedQ_causal,full334,334,13407809.794837218,352797.2082406407,13760607.00307786,22019558.70931468,57130.308770556796,2918269.882014277,6416666.847028722,5197437.205924425,529.0,193.0,15.802774007997641,6000.0,6069.933520933333,13760578.15161528,63317.0252407071,65740.81379377971,81328.34402004749,0.3502994011976048,0.010998835662009314
Ridge,H1_fixedQ_causal,development153,153,6271097.213746905,208926.1864202101,6480023.400167115,10186463.935571384,33516.708113487504,1541849.6986344531,2825525.6758912196,2289837.4790908005,340.0,133.0,7.076304099001618,7435.284267603703,6144.526913257409,6480555.909284525,60332.19952390903,63787.42809767778,81328.34402004749,0.47058823529411764,0.015432098765432098
