method,month,tau,pv_bin,coverage,pinball,exceedance,effective_n,tail_effective_n
ManualWeekly,10,0.95,0,0.910218253968254,30.086150280700846,10.23563602465987,19.592255030215775,0.9796127515107896
ManualWeekly,10,0.95,1,0.9513888888888888,24.701704739087315,4.979441865079356,19.592255030215775,0.9796127515107896
ManualWeekly,11,0.5,0,0.48842592592592593,83.57798939566798,86.23551262566137,19.592255030215775,9.796127515107887
ManualWeekly,11,0.8,0,0.7717592592592593,57.89884026626983,24.702241621693126,19.592255030215775,3.918451006043154
ManualWeekly,11,0.9,0,0.8784722222222222,36.87601336041666,11.657580996362435,19.592255030215775,1.959225503021577
ManualWeekly,11,0.95,0,0.9254629629629629,22.42639952493388,6.439896578042335,19.592255030215775,0.9796127515107897
ManualWeekly,12,0.5,0,0.5257616487455197,98.524148780882,97.20588757392474,19.592255030215775,9.796127515107887
ManualWeekly,12,0.8,0,0.7997311827956989,72.83326746818997,31.983891065028168,19.592255030215775,3.9184510060431545
ManualWeekly,12,0.9,0,0.8830645161290323,48.520063212429605,17.77260139944957,19.592255030215775,1.9592255030215773
ManualWeekly,12,0.95,0,0.9305555555555556,29.785307042882764,9.945014549091137,19.592255030215775,0.9796127515107896
Ridge,6,0.5,0,0.7170138888888888,160.5888272829861,55.125692256944454,17.836086512101204,8.918043256050602
Ridge,6,0.5,1,0.45233585858585856,168.62099344113005,206.56890480050504,17.836086512101204,8.918043256050602
Ridge,6,0.8,0,0.9409722222222222,113.13970123107636,8.27849872048611,17.836086512101204,3.5672173024202403
Ridge,6,0.8,1,0.7421085858585859,123.36254470271463,75.79999756944444,17.836086512101204,3.56721730242024
Ridge,6,0.9,0,0.9774305555555556,72.35698868368053,2.8397522534722195,17.836086512101204,1.7836086512101201
Ridge,6,0.9,1,0.8428030303030303,80.92962992638888,40.26689460258838,17.836086512101204,1.78360865121012
Ridge,6,0.95,0,0.9852430555555556,42.56616478832469,1.8324913437499981,17.836086512101204,0.8918043256050611
Ridge,6,0.95,1,0.8942550505050505,51.3563424116951,24.18472237689394,17.836086512101204,0.8918043256050611
Ridge,7,0.5,0,0.4714506172839506,176.5621681550926,175.39293926311728,12.12853882822882,6.06426941411441
Ridge,7,0.5,1,0.5656565656565656,142.00933725978535,130.77494814488637,12.128538828228818,6.064269414114409
Ridge,7,0.8,0,0.7438271604938271,125.61249639351848,62.936841705246906,12.12853882822882,2.4257077656457633
