method,seed,target,period,MAE_kW,RMSE_kW,WAPE,MASE,R2,bias_actual_minus_forecast_kW,underestimate_frequency,peak_MAE_kW,price_weighted_MAE_kW,daily_energy_MAE_kWh,ramp_MAE_kW
A0 原人工权重+PV-MA7,0,net,holdout_61,197.80989538072444,281.7599339158687,0.06337453204842868,0.8128973014128457,0.9787833017102132,101.70407403054175,0.6361566484517304,182.1455793661625,196.23534415581005,2684.8870986299626,117.4116439396669
A1 负荷Lag7,0,load,full_334,176.79572117223884,244.28661499529923,0.03829419198389717,1.0,0.9698864009956577,-1.949469704341318,0.48334580838323354,222.49188912681913,177.8220077707778,1635.333984780439,144.09438319375238
A1 负荷Lag7,0,load,forecast_common_275,183.89592105050502,255.60450577844887,0.03949335295841365,1.0,0.9669264664885372,6.391716601010099,0.49568181818181817,234.76450858585855,185.47914790982523,1739.157305939394,147.9381048747616
A1 负荷Lag7,0,load,development_184,203.4563637869867,282.5532989364993,0.04287443854693573,1.0,0.9590437647147245,0.06544986035627944,0.4846014492753623,251.21084716981133,206.76772633666442,2145.1338316123188,157.38788921404682
A1 负荷Lag7,0,load,holdout_61,153.60209858834244,203.98613947919026,0.034002419887397065,1.0,0.9794079981479681,29.931437955373404,0.5300546448087432,210.00344186575654,151.02232864841923,1198.912486338798,130.4882462111659
A1 负荷Lag7,0,pv,full_334,162.2687010767156,321.1929825033676,0.06821298503588322,0.7558341695513031,0.9885115178603283,4.422254019045241,0.2823935462408516,493.19451422334424,170.05773327481546,2400.664014321357,54.66256635998732
A1 负荷Lag7,0,pv,forecast_common_275,156.26436407539683,309.5377555563109,0.06432600464451824,0.7105177776602951,0.9895838095288579,-15.433205073232324,0.2582828282828283,471.2678722113997,163.86083477903443,2211.972359333333,53.77198166778677
A1 负荷Lag7,0,pv,development_184,176.103340203373,337.54381560165064,0.06688829810859143,0.7009964390418275,0.9885023498313099,-15.926749318495508,0.2689085144927536,479.93830920215635,185.11475159055178,2528.41968136646,60.35410711788212
A1 负荷Lag7,0,pv,holdout_61,88.34403193143376,185.48667180212888,0.05254459497635311,0.6891303949859844,0.9939869447082351,-39.802026288056204,0.1662112932604736,293.3373158946855,91.16147483670464,1216.3146850117096,30.98910783315046
A1 负荷Lag7,0,net,full_334,281.1468575990876,403.3184525742582,0.09368636431033293,0.8577544057221841,0.9733745585826824,-6.371723723386564,0.4885645375914837,238.2817376091476,285.2056890297866,3333.730168135158,166.51941354543658
A1 负荷Lag7,0,net,forecast_common_275,282.4111297117605,401.75439093227806,0.09333442559147555,0.8329777063389475,0.9745940135652883,21.82492167424243,0.5169191919191919,242.83313830808083,286.81895277015343,3246.0447396623376,169.79777931232402
A1 负荷Lag7,0,net,development_184,313.23979791612754,438.12651894947516,0.10327715366830197,0.82675552195353,0.9725813908864961,15.992199178851786,0.5088315217391305,263.7611009002696,319.82819586103295,3761.7671335015534,182.28132225274726
A1 负荷Lag7,0,net,holdout_61,205.5690887782982,285.746765815574,0.06586043018662875,0.8447836100420888,0.9781786319574595,69.73346424342962,0.57433970856102,178.32735542012026,204.12278799669699,2114.1580670569865,141.373779500827
A2 负荷四周等权,0,load,full_334,187.85316318716733,261.2809102442806,0.04068924885836734,1.0625436064946168,0.9655508365274552,6.737347296032936,0.4996465402528277,241.76834636694386,190.66983189136923,2936.1306879990016,118.20531912608348
A2 负荷四周等权,0,load,forecast_common_275,197.32568698863636,275.261241431866,0.042377519628961156,1.073029167049567,0.9616439642744298,16.94225070328283,0.5154797979797979,257.88738101641417,201.083414296289,3319.034029121212,116.49465978893834
A2 负荷四周等权,0,load,development_184,229.19177084654285,311.28555140166804,0.048297670870160264,1.1264910400468005,0.9502907522811499,0.13399845825784318,0.4820727657004831,271.4460518207547,235.9087392234324,4235.086371286232,124.11846502261328
A2 负荷四周等权,0,load,holdout_61,150.08695899931698,204.73304061999397,0.033224284345192125,0.9771152893005315,0.979256925656294,78.15779623747723,0.6326275045537341,258.02930372582483,146.86758454346352,2034.433716939891,103.02368611429554
A2 负荷四周等权,0,pv,full_334,162.2687010767156,321.1929825033676,0.06821298503588322,0.7558341695513031,0.9885115178603283,4.422254019045241,0.2823935462408516,493.19451422334424,170.05773327481546,2400.664014321357,54.66256635998732
A2 负荷四周等权,0,pv,forecast_common_275,156.26436407539683,309.5377555563109,0.06432600464451824,0.7105177776602951,0.9895838095288579,-15.433205073232324,0.2582828282828283,471.2678722113997,163.86083477903443,2211.972359333333,53.77198166778677
A2 负荷四周等权,0,pv,development_184,176.103340203373,337.54381560165064,0.06688829810859143,0.7009964390418275,0.9885023498313099,-15.926749318495508,0.2689085144927536,479.93830920215635,185.11475159055178,2528.41968136646,60.35410711788212
A2 负荷四周等权,0,pv,holdout_61,88.34403193143376,185.48667180212888,0.05254459497635311,0.6891303949859844,0.9939869447082351,-39.802026288056204,0.1662112932604736,293.3373158946855,91.16147483670464,1216.3146850117096,30.98910783315046
A2 负荷四周等权,0,net,full_334,289.61485838783744,410.8910723939266,0.09650815009748301,0.8835895334779662,0.9723653452844463,2.315093276987688,0.5032643047238856,283.60481206860703,295.3499607323099,4048.716471218278,143.44831247345468
A2 负荷四周等权,0,net,forecast_common_275,292.69590157882396,410.9685055499788,0.09673345336892707,0.8633128623534773,0.9734152928848956,32.37545577651515,0.5347727272727273,292.68907529761907,299.13963185612715,4114.428104134198,141.77687837398963
A2 负荷四周等权,0,net,development_184,332.0633927797727,451.4449877068223,0.10948341261833193,0.8764379413014755,0.970889074739045,16.060747776753363,0.509020229468599,317.23171741239895,341.74493833300727,4746.9297176630425,152.9942248812329
A2 负荷四周等权,0,net,holdout_61,204.97550138970206,290.68187181036353,0.0656702560656136,0.8423442700615797,0.9774183733238995,117.95982252553343,0.6599499089253188,198.0996417316756,202.85437009302098,3023.6418953942225,115.3267160040779
A3 负荷学习权重,0,load,full_334,169.3762745883748,236.2797179001171,0.036687129833224634,0.9580337887440397,0.9718280955327634,2.0967110201577714,0.489042747837658,214.64409532299035,171.03511217526528,2051.0588056407523,125.97359094340398
A3 负荷学习权重,0,load,forecast_common_275,174.88466592683014,246.2930784802375,0.03755810242558717,0.950998069602642,0.9692922497139066,11.305987008219907,0.5026010101010101,226.11830745078476,177.236154713821,2244.0739974570106,125.92957901433847
A3 负荷学习权重,0,load,development_184,197.32827032330445,275.16266198282614,0.041583063031674854,0.9698800600304731,0.9611582964496388,2.476699246887111,0.48388435990338163,241.88109961362142,201.73742622721647,2860.295367360379,132.91448121364886
A3 负荷学习权重,0,load,holdout_61,140.57081282301408,190.49630745948295,0.031117724597830337,0.9151620590793323,0.9820414869503934,44.846314799895424,0.5658014571948998,207.3376437805724,138.0680779756483,1325.780416450493,114.21600809596946
A3 负荷学习权重,0,pv,full_334,162.2687010767156,321.1929825033676,0.06821298503588322,0.7558341695513031,0.9885115178603283,4.422254019045241,0.2823935462408516,493.19451422334424,170.05773327481546,2400.664014321357,54.66256635998732
