method,period,total_cost_yuan_mean,total_cost_yuan_std,planned_cost_yuan_mean,emergency_cost_yuan_mean,emergency_kwh_mean,spill_kwh_mean,regret_vs_oracle_mean,saving_vs_manual_mean
A3 负荷学习权重,development_184,8002806.20713982,0.0,7335866.964780667,666939.2423591531,174417.61587500043,2102786.866885111,0.2265203467710175,-0.0020649954118796554
A3 负荷学习权重,full_334,14652881.292195072,0.0,13574271.024307568,1078610.2678875052,285085.7854957818,3275284.5256748972,0.19663741540371626,-0.0025146854112174655
A3 负荷学习权重,holdout_61,3084126.1596672772,0.0,2938638.3093178035,145487.8503494743,39453.431296679,368060.4920600423,0.13071382767730833,-0.005237164969486008
A4 光伏Lag1,cost_common_245,11250279.084108382,0.0,10388110.747311037,862168.3367973452,228931.31489648932,2659600.4283107175,0.21593126488629277,-0.017722068169150562
A4 光伏Lag1,development_184,8154314.292588647,0.0,7449711.976985158,704602.3156034886,185970.65985648928,2286199.701050471,0.24974067032921132,-0.02103595947379744
A4 光伏Lag1,full_334,14849949.421192903,0.0,13706891.071839519,1143058.349353382,303934.98864620115,3498260.653304375,0.21273111682938883,-0.01599760999152311
A4 光伏Lag1,holdout_61,3095964.7915197345,0.0,2938398.770325878,157566.02119385666,42960.65503999999,373400.7272602469,0.1350541510114871,-0.009095837444079491
A5 光伏Lag7,cost_common_245,11393945.428641055,0.0,10472199.70012166,921745.7285193952,244156.05469364443,2785952.639618409,0.23145873746925827,-0.030718404365878804
A5 光伏Lag7,development_184,8270476.524067532,0.0,7506331.99755757,764144.5265099618,201350.5582803111,2376125.389372642,0.26754384295984,-0.03558112062615337
A5 光伏Lag7,full_334,14978872.966189625,0.0,13786928.564754467,1191944.4014351575,315715.56606031104,3614020.1522065923,0.22325974492601697,-0.024818247010082173
A5 光伏Lag7,holdout_61,3123468.9045735225,0.0,2965867.7025640896,157601.20200943333,42805.496413333334,409827.2502457667,0.1451378114513937,-0.018060502052408278
A6 光伏SeasonalEWMA,cost_common_245,11245011.580361819,0.0,10356821.354577718,888190.2257841015,232560.40452781357,2611254.034252312,0.21536195256564117,-0.017245559562834023
