method,seed,month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,spill_kwh,cost_delta_vs_manual_yuan
MLP,2026,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
MLP,2026,4,898548.4363828656,171781.92214893995,1070330.3585318057,45118.72457760313,276167.63288002764,47359.343237841036
MLP,2026,5,969296.4889275644,91238.08104273738,1060534.5699703018,24111.511382389195,376104.8985263062,-11751.193881844403
MLP,2026,6,1343536.7007377853,88985.25398984509,1432521.9547276304,24462.077973809373,320787.00724634744,-62326.785990025615
MLP,2026,7,1498127.450260136,88163.16900355564,1586290.6192636916,24083.190997593534,348850.8044979158,-31124.027739404934
MLP,2026,8,1275776.9295528827,119739.2080594885,1395516.1376123712,30472.641471558138,387167.6515774918,20220.95053527062
MLP,2026,9,1106300.6383358287,77777.36813472788,1184078.0064705566,20175.36847800191,330918.0931416179,-49028.977196642896
MLP,2026,10,1121263.6458247958,69124.54569615422,1190388.19152095,19666.27877256804,286505.56984770164,-2974.990492400015
MLP,2026,11,1272226.2972751944,42672.395978535584,1314898.69325373,11522.203215425314,177240.5423731084,-950.1814011945389
MLP,2026,12,1644470.5861078142,76315.92152267379,1720786.507630488,21541.75670321749,154031.2193840084,-31422.850281918887
MLP,2027,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
MLP,2027,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
MLP,2027,4,901430.1329035558,157909.19449795756,1059339.3274015132,42006.31396560399,275639.52283901104,36368.31210754858
MLP,2027,5,969710.6878373033,97844.90023413482,1067555.5880714383,24844.80573683981,378667.29273401183,-4730.17578070797
MLP,2027,6,1338445.654538207,89344.99986711836,1427790.6544053254,24616.768909137594,312670.51618235355,-67058.08631233056
MLP,2027,7,1489982.8234813793,101969.81739288385,1591952.6408742631,27340.503412483926,342067.66540122597,-25462.006128833396
MLP,2027,8,1307245.5742621343,88326.58182134728,1395572.1560834814,22758.75000017632,427502.3808460952,20276.969006380765
MLP,2027,9,1086213.2595433292,97847.27141227906,1184060.5309556082,25613.914183362707,304205.8928062646,-49046.452711591264
MLP,2027,10,1134640.3890791545,59843.44099123665,1194483.8300703913,16951.41773717245,301945.8952536533,1120.648057041224
MLP,2027,11,1266460.5189154763,47360.555017048595,1313821.073932525,12299.717062278318,171238.59940419474,-2027.8007223994937
MLP,2027,12,1645001.783313516,74401.86910578603,1719403.6524193021,20866.931595939994,152873.92832092196,-32805.705493104644
MLP,2028,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
MLP,2028,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
MLP,2028,4,897542.0927467875,167002.1667711911,1064544.2595179786,45077.61286010646,270867.35186192195,41573.24422401399
MLP,2028,5,968658.7308549305,99768.19138709755,1068426.922242028,25557.8319415261,378888.9698820766,-3858.841610118281
MLP,2028,6,1347260.3800054342,88207.53469866785,1435467.914704102,23820.638861320007,326621.71947541833,-59380.82601355389
MLP,2028,7,1503471.1131119858,91556.37715717258,1595027.4902691583,24822.849061018096,355511.4199276336,-22387.15673393826
MLP,2028,8,1275498.0798041665,118340.82226210888,1393838.9020662755,29954.505188680017,389287.37089384644,18543.714989174856
MLP,2028,9,1103147.8880726702,79124.19892339838,1182272.0869960685,20960.043487166222,324810.95374412386,-50834.89667113102
MLP,2028,10,1128740.1774644244,59361.93233564325,1188102.1098000677,16907.41731028106,292987.0284201611,-5261.072213282343
MLP,2028,11,1270891.3970359426,44235.039274629205,1315126.4363105719,11487.617420395638,175648.07282316184,-722.4383443526458
MLP,2028,12,1644806.8734516164,76105.54910081021,1720912.4225524266,21511.52221229577,153515.37221220144,-31296.935359980213
