method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
A3 负荷学习权重,0,development_184,7335866.964780667,666939.2423591531,8002806.20713982,11962141.510608664,174417.61587500043,2102786.866885111,0.1863300120772947,0.9728260869565217,1877,6524805.094516614,0.2265203467710175,-0.0020649954118796554
A3 负荷学习权重,0,holdout_61,2938638.3093178035,145487.8503494743,3084126.1596672772,4751655.669904516,39453.431296679,368060.4920600423,0.19102914389799636,1.0,750,2727592.149467768,0.13071382767730833,-0.005237164969486008
A4 光伏Lag1,0,full_334,13706891.071839519,1143058.349353382,14849949.421192903,22471762.223016527,303934.98864620115,3498260.653304375,0.19078509647371922,0.9910179640718563,3705,12245046.91527763,0.21273111682938883,-0.01599760999152311
A4 光伏Lag1,0,cost_common_245,10388110.747311037,862168.3367973452,11250279.084108382,16893296.991942007,228931.31489648932,2659600.4283107175,0.19041950113378686,0.9877551020408163,2580,9252397.243984384,0.21593126488629277,-0.017722068169150562
A4 光伏Lag1,0,development_184,7449711.976985158,704602.3156034886,8154314.292588647,12139675.129872901,185970.65985648928,2286199.701050471,0.1857638888888889,0.9836956521739131,1808,6524805.094516614,0.24974067032921132,-0.02103595947379744
A4 光伏Lag1,0,holdout_61,2938398.770325878,157566.02119385666,3095964.7915197345,4753621.862069103,42960.65503999999,373400.7272602469,0.20446265938069216,1.0,772,2727592.149467768,0.1350541510114871,-0.009095837444079491
A5 光伏Lag7,0,full_334,13786928.564754467,1191944.4014351575,14978872.966189625,22582005.830547255,315715.56606031104,3614020.1522065923,0.19011976047904192,0.9790419161676647,3603,12245046.91527763,0.22325974492601697,-0.024818247010082173
A5 光伏Lag7,0,cost_common_245,10472199.70012166,921745.7285193952,11393945.428641055,17010852.38392786,244156.05469364443,2785952.639618409,0.19189342403628118,0.9714285714285714,2510,9252397.243984384,0.23145873746925827,-0.030718404365878804
A5 光伏Lag7,0,development_184,7506331.99755757,764144.5265099618,8270476.524067532,12219427.322085813,201350.5582803111,2376125.389372642,0.19138737922705315,0.9619565217391305,1803,6524805.094516614,0.26754384295984,-0.03558112062615337
A5 光伏Lag7,0,holdout_61,2965867.7025640896,157601.20200943333,3123468.9045735225,4791425.061842043,42805.496413333334,409827.2502457667,0.19341985428051,1.0,707,2727592.149467768,0.1451378114513937,-0.018060502052408278
A6 光伏SeasonalEWMA,0,full_334,13673099.824366633,1136390.0565993674,14809489.880966,22411915.824976828,298517.47376072156,3434831.6366501693,0.18895542248835662,0.9910179640718563,3652,12245046.91527763,0.20942696123841076,-0.013229466140930235
A6 光伏SeasonalEWMA,0,cost_common_245,10356821.354577718,888190.2257841015,11245011.580361819,16839983.599427,232560.40452781357,2611254.034252312,0.19206349206349208,0.9877551020408163,2562,9252397.243984384,0.21536195256564117,-0.017245559562834023
A6 光伏SeasonalEWMA,0,development_184,7399541.457332039,740239.5738353997,8139781.031167438,12062556.059711851,192047.65653646342,2217009.3106649765,0.19365187198067632,0.9836956521739131,1855,6524805.094516614,0.24751328403786865,-0.01921618873808084
A6 光伏SeasonalEWMA,0,holdout_61,2957279.897245679,147950.65194870188,3105230.5491943806,4777427.5397151485,40512.74799135017,394244.7235873352,0.18727231329690347,1.0,707,2727592.149467768,0.1384511976250924,-0.012115909741368558
A7 学习负荷+EWMA光伏,0,full_334,13700607.710527668,1140762.8582010434,14841370.568728711,22454022.504504923,299713.3259595159,3477246.2695924174,0.18716733200266134,0.9910179640718563,3715,12245046.91527763,0.2120305190674081,-0.01541066566242999
A7 学习负荷+EWMA光伏,0,cost_common_245,10382073.681471152,890849.7077563775,11272923.389227532,16878341.03289151,233235.6223815988,2649515.805631865,0.1891439909297052,0.9877551020408163,2616,9252397.243984384,0.218378663600596,-0.01977051593349688
A7 学习负荷+EWMA光伏,0,development_184,7410884.407259473,741063.116423615,8151947.523683087,12081216.999701343,192259.357395425,2235413.9489407176,0.19165157004830918,0.9836956521739131,1916,6524805.094516614,0.24937793629022087,-0.02073960639325234
