method,seed,date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_day_count,emergency_event_count
LSTM,2026,2025-03-05,47599.032651803325,1301.8403077666658,48900.87295956999,77736.23585233334,304.9816999999998,7472.323983333334,23360.113433333332,18921.691881,14,1,9
LSTM,2026,2025-03-06,46848.494241290115,2216.153852833336,49064.64809412345,75724.8475993827,737.8244666666676,6062.256983333331,23472.42604938271,19012.6651,36,1,16
LSTM,2026,2025-03-07,17949.589518059507,902.8383623333327,18852.42788039284,34587.58839176955,268.06373333333306,10638.652599588473,17340.599958847735,14045.885966666667,16,1,11
LSTM,2026,2025-03-08,17541.54044223533,1119.419766808332,18660.960209043664,33399.5466510288,388.4278333333331,11533.117766666664,16798.51158436214,13606.79438333333,24,1,10
LSTM,2026,2025-03-09,50149.122941942405,1304.4116069666684,51453.534548909076,81250.62410596706,364.48875000000015,13603.591499999999,24621.03318930041,19943.036883333334,24,1,11
LSTM,2026,2025-03-10,49821.342149522156,2385.0845180749957,52206.42666759715,80466.55325061729,758.494299999999,8664.693966666666,23780.432283950613,19262.150149999994,29,1,12
LSTM,2026,2025-03-11,47319.94925614954,1156.7676912333309,48476.716947382876,77577.24941216665,319.05364999999955,9513.155166666667,23390.679449999996,18946.450354499997,27,1,16
LSTM,2026,2025-03-12,45331.74110818526,1880.3369650416666,47212.07807322693,74392.24182757201,546.1594999999998,8155.867133333333,22878.944794238683,18531.945283333334,29,1,14
LSTM,2026,2025-03-13,45175.917999882586,10112.55558834167,55288.47358822425,74149.60325378805,2494.0133,4793.229433333332,22656.679493621396,18351.910389833334,50,1,13
LSTM,2026,2025-03-14,16825.855303166667,1162.1903624083327,17988.045665575,32085.090699999997,351.56253333333336,13364.77442916667,16012.909583333327,12970.456762499996,24,1,13
LSTM,2026,2025-03-15,16917.52552190166,1308.8600981,18226.38562000166,32449.94998333333,356.0922166666669,8839.343655166665,16013.544183333332,12970.970788499999,23,1,12
LSTM,2026,2025-03-16,44197.06035250893,5015.399499783336,49212.45985229227,72620.15323930042,1434.5562833333342,6364.364083333334,22838.413189300412,18499.114683333333,46,1,19
LSTM,2026,2025-03-17,46922.624801403326,960.8415112500015,47883.46631265333,77421.65656666666,233.5609500000004,15395.419416666666,23166.666666666664,18765.0,15,1,10
LSTM,2026,2025-03-18,44178.633133532654,4715.988143108336,48894.62127664099,72988.74137333332,1057.4151666666671,8654.69513333333,22450.015999999996,18184.51296,28,1,11
LSTM,2026,2025-03-19,43464.83375657477,1716.7523799500007,45181.58613652477,71793.07731502058,373.2162000000001,8492.889683333335,22147.017798353914,17939.084416666665,19,1,11
LSTM,2026,2025-03-20,46793.21890849667,1749.4019140249995,48542.62082252167,76804.41171666667,479.63101666666665,10673.414249999998,23166.666666666664,18764.999999999996,28,1,12
LSTM,2026,2025-03-21,16395.641917178335,1112.2315266500007,17507.873443828335,31505.38233333333,391.7066999999999,16819.801255349797,16020.122427983535,12976.299166666666,24,1,13
LSTM,2026,2025-03-22,16763.55990926833,504.1558266666669,17267.715735934995,32230.434099999995,178.6316833333334,13487.86605,15999.999999999998,12960.000000000004,15,1,10
LSTM,2026,2025-03-23,43673.069792111004,2888.8023142333313,46561.87210634434,72172.14395499999,774.0601166666665,9923.074700000001,22386.364499999996,18132.955244999997,25,1,13
LSTM,2026,2025-03-24,40082.598305639316,5009.825198141671,45092.423503780985,66662.6626026749,1226.571600000001,5811.266033333334,21470.900452674894,17391.429366666667,49,1,22
LSTM,2026,2025-03-25,42234.34332940948,4578.880529233335,46813.223858642814,69843.50336584362,1253.3001333333336,5909.770666666666,22299.516399176948,18062.60828333333,41,1,19
LSTM,2026,2025-03-26,41102.97211237,507.5444678083346,41610.51658017834,67996.4304888889,177.98418333333365,8430.890480833335,21847.206972222222,17696.2376475,21,1,14
LSTM,2026,2025-03-27,42599.748912009745,779.2478118500013,43378.996723859746,70299.45692386832,285.4547500000003,7728.311,21787.427757201644,17647.816483333332,19,1,9
LSTM,2026,2025-03-28,15765.960126168331,1457.2342165916652,17223.194342759998,30902.1884,396.7778999999995,17437.08553333333,15999.999999999998,12959.999999999996,19,1,10
LSTM,2026,2025-03-29,15695.747994838335,781.391017299999,16477.139012138334,30826.890916666667,194.00911666666653,20273.410639094647,16001.474794238682,12961.19458333333,18,1,12
LSTM,2026,2025-03-30,39992.58778909301,5547.637283741666,45540.22507283468,66488.54364650205,1213.4282999999998,8296.038529166668,21370.072196502053,17309.758479166667,26,1,16
LSTM,2026,2025-03-31,39763.51505844216,5593.903206033334,45357.41826447549,66032.19580781892,1479.6952333333334,6410.043383333335,21844.516707818926,17694.058533333333,34,1,14
LSTM,2026,2025-04-01,41419.76570086373,4154.570269381449,45574.335970245185,68575.16656282425,1662.237197292545,5879.742322658405,21835.8416883775,17687.031767585773,35,1,12
LSTM,2026,2025-04-02,42168.378534368436,3194.95235200344,45363.33088637188,69704.30197390533,798.7790467068911,5901.540545061114,21927.39513447955,17761.190058928434,27,1,15
LSTM,2026,2025-04-03,44467.26348694638,458.0201193851906,44925.28360633157,72854.37995905156,138.05216197595746,12874.986403724859,22389.02868755795,18135.11323692194,12,1,8
LSTM,2026,2025-04-04,17006.95778211706,162.51699428163698,17169.474776398696,32557.640025309505,47.66424444475075,23134.502019754265,15999.999999999995,12960.0,7,1,6
