month,weekday,max_abs_value_difference,mean_abs_value_difference,value_scale,relative_max_difference
10,2,14.739843137503613,0.6078945601656669,2292.350053333357,0.006430014087974949
10,3,14.739843137547268,0.6078945601695606,2292.350053333357,0.006430014087993993
10,4,0.7849364383350803,0.06476398033629914,2141.7345026641938,0.0003664956778530041
10,5,0.8016376633338496,0.06374095653411224,2146.935673147383,0.00037338690365075445
10,6,14.739843137496337,0.6078945601666738,2292.350053333357,0.006430014087971775
11,0,14.739843137503613,0.6078945601696464,2292.350053333357,0.006430014087974949
11,1,13.686843137495089,0.5792136263144148,2292.35005333335,0.005970660160560028
11,2,14.739843137496337,0.609775234615362,2292.35005333335,0.006430014087971795
11,3,14.73984313748906,0.6078945601644558,2292.3500533333427,0.0064300140879686414
11,4,0.9852089513510691,0.09200628968678562,2228.2836242861126,0.00044213803871879457
11,5,7.643005134626037,0.36077770732707665,2226.2403539757074,0.003433144638213416
11,6,14.739843137503613,0.6097752346143455,2292.35005333335,0.00643001408797497
12,0,13.686843137495089,0.5792136263144139,2292.3500533333863,0.0059706601605599334
12,1,14.739843137481785,0.6078945601667826,2292.3500533333427,0.006430014087965468
12,2,14.739843137510888,0.6078945601690554,2292.3500533333718,0.006430014087978082
12,3,14.739843137503613,0.6078945601687387,2292.3500533333354,0.0064300140879750105
12,4,8.373887186025058,0.4087837707068242,2282.0095548477307,0.0036695232797059056
12,5,2.145936302134942,0.18470894289988357,2282.469739193411,0.0009401817098759356
12,6,12.896927224999672,0.5329194066956843,2292.350053333357,0.005626072338404845
