origin,grid_size,iteration,weekday,support_violation,own_cut_error,dual_max,dual_min,history_min_day,history_max_day
2025-04-01,9,2,1,7.275957614183426e-12,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,13,83
2025-04-01,9,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,12,82
2025-05-01,9,1,6,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,39,116
2025-05-01,9,1,5,0.0,0.0,-0.387989991,-0.4770000111111112,38,115
2025-05-01,9,1,4,0.0,0.0,-0.382319991,-0.47788889999999995,37,114
2025-05-01,9,1,3,0.0,0.0,-0.38231999099999997,-0.47900001111111107,36,113
2025-05-01,9,1,2,1.4551915228366852e-11,0.0,-0.399509991,-0.47900001111111107,42,112
2025-05-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,41,118
2025-05-01,9,1,0,0.0,0.0,-0.38231999099999997,-0.47900001111111107,40,117
2025-05-01,9,2,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,39,116
2025-05-01,9,2,5,0.0,0.0,-0.387989991,-0.4770000111111112,38,115
2025-05-01,9,2,4,0.0,0.0,-0.382319991,-0.47788889999999995,37,114
2025-05-01,9,2,3,0.0,0.0,-0.38231999099999997,-0.47900001111111107,36,113
2025-05-01,9,2,2,1.4551915228366852e-11,0.0,-0.399509991,-0.47900001111111107,42,112
2025-05-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,41,118
2025-05-01,9,2,0,0.0,0.0,-0.38231999099999997,-0.47900001111111107,40,117
2025-06-01,9,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,67,144
2025-06-01,9,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.387989991,-0.47455556666666665,73,143
2025-06-01,9,1,4,1.8189894035458565e-12,1.8189894035458565e-12,-0.38231999099999997,-0.4746666777777778,72,149
2025-06-01,9,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,71,148
2025-06-01,9,1,2,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,70,147
2025-06-01,9,1,1,0.0,0.0,-0.38231999099999997,-0.47900001111111107,69,146
2025-06-01,9,1,0,7.275957614183426e-12,0.0,-0.382319991,-0.47900001111111107,68,145
2025-06-01,9,2,6,0.0,0.0,-0.384479991,-0.47900001111111107,67,144
2025-06-01,9,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.387989991,-0.47455556666666665,73,143
2025-06-01,9,2,4,1.8189894035458565e-12,1.8189894035458565e-12,-0.38231999099999997,-0.4746666777777778,72,149
2025-06-01,9,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,71,148
2025-06-01,9,2,2,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,70,147
2025-06-01,9,2,1,0.0,0.0,-0.38231999099999997,-0.47900001111111107,69,146
2025-06-01,9,2,0,7.275957614183426e-12,0.0,-0.382319991,-0.47900001111111107,68,145
