policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
dual_terminal_g9,3,1108373.3472487025,28206.887605076827,1136580.2348537794,4371.797719097614,224958.85090614384
dual_terminal_g9,4,917810.4508802573,63759.75726102432,981570.2081412816,10096.528017816452,265472.8488117585
dual_terminal_g9,5,961577.1204467976,33536.755519609156,995113.8759664068,5278.568823420832,340642.8799100844
dual_terminal_g9,6,1296390.7011177933,90323.8104525692,1386714.5115703624,14825.145913919992,256719.60790809512
dual_terminal_g9,7,1455583.5768163605,28779.1881237295,1484362.76494009,4555.473648448321,277625.5515190475
dual_terminal_g9,8,1269684.8462149592,17314.274997520628,1286999.1212124797,2745.593043048332,344694.5557693376
dual_terminal_g9,9,1076940.6886267457,36215.960711523745,1113156.6493382696,5660.755429380736,270544.4494735211
dual_terminal_g9,10,1096546.9475412294,22319.361902488607,1118866.309443718,3526.5123694316453,239562.88951133922
dual_terminal_g9,11,1255409.1758435033,3419.756423144102,1258828.9322666475,712.6337018033329,140300.07355487064
dual_terminal_g9,12,1648652.102489968,19462.388632441467,1668114.4911224095,3927.8591654466636,145392.61177084784
free_terminal,2,1200952.3433055317,2009.4283350498267,1202961.7716405815,462.51701209047866,151874.02403631687
free_terminal,3,1105657.045601217,28212.809733553917,1133869.855334771,4374.590517247615,218929.01515758966
free_terminal,4,914228.7054859104,64286.97089075792,978515.6763766684,10208.57537812907,259787.27362612128
free_terminal,5,955742.7403396668,36162.98202505009,991905.7223647169,6531.519788262492,331613.6875241009
free_terminal,6,1292711.6197563503,92097.20833663359,1384808.828092984,15851.677145239992,245430.67553186035
free_terminal,7,1455167.3495049863,30149.04190350536,1485316.3914084916,5354.935422921659,267606.73500227934
free_terminal,8,1265613.0521622486,17314.274997520595,1282927.3271597691,2745.5930430483268,336756.0502084644
free_terminal,9,1074848.10580544,37387.552234840005,1112235.65804028,6098.532296786689,262287.59273373
free_terminal,10,1097883.3728001006,22945.679183234097,1120829.0519833348,3822.1146525083177,234654.00557580238
free_terminal,11,1253899.0390270748,3419.756423144087,1257318.795450219,712.6337018033308,135007.20828104526
free_terminal,12,1648390.2411739964,19618.09652682374,1668008.33770082,3958.6624861500018,138993.31901870779
hard_6000,2,1202944.496371993,1861.3235419760051,1204805.8199139691,392.6573555333367,155892.54586924528
hard_6000,3,1106035.0585525557,28206.887605076827,1134241.9461576326,4371.797719097614,222897.59234785126
hard_6000,4,915579.8287748267,63846.66508638421,979426.4938612109,10109.31790840479,263515.47486538347
hard_6000,5,959892.4365671413,33536.755519609156,993429.1920867505,5278.568823420832,338354.67064954765
hard_6000,6,1296824.945965242,90070.77222767864,1386895.7181929206,14774.62391612999,255736.61875731812
hard_6000,7,1459183.1884886662,28491.44638574882,1487674.6348744151,4487.279954311655,276806.67938749125
hard_6000,8,1268944.644276353,17314.274997520628,1286258.9192738738,2745.593043048332,344135.9239559428
hard_6000,9,1077566.1291121703,36035.785941860995,1113601.9150540312,5608.694953078341,269487.3220742176
hard_6000,10,1098210.9750460978,22319.361902488607,1120530.3369485864,3526.5123694316453,238873.1541655001
hard_6000,11,1253455.7296549652,3419.756423144102,1256875.4860781094,712.6337018033329,138909.68251025924
hard_6000,12,1647981.9794812386,19576.042085144007,1667558.0215663826,3950.52560118,143393.13847581277
