grid_size,month,weekday,soc,relative_future_cost
9,2,4,9150.0,-1493.5500350000057
9,2,4,9300.0,-1564.300036666672
9,2,4,9450.0,-1635.0500383333392
9,2,4,9600.0,-1705.8000400000055
9,2,4,9750.0,-1776.5500416666728
9,2,4,9900.0,-1847.300043333339
9,2,4,10050.0,-1918.0500450000054
9,2,4,10200.0,-1988.8000466666726
9,2,4,10350.0,-2055.422724050005
9,2,4,10500.0,-2112.7707227000046
9,2,4,10650.0,-2170.1187213500048
9,2,4,10800.0,-2227.466720000005
9,2,3,1200.0,2292.35005333335
9,2,3,1350.0,2220.5000516666832
9,2,3,1500.0,2148.6500500000166
9,2,3,1650.0,2076.80004833335
9,2,3,1800.0,2004.9500466666836
9,2,3,1950.0,1933.100045000017
9,2,3,2100.0,1861.2500433333503
9,2,3,2250.0,1789.4000416666836
9,2,3,2400.0,1717.550040000017
9,2,3,2550.0,1645.7000383333502
9,2,3,2700.0,1573.9333699999975
9,2,3,2850.0,1502.2500349999975
9,2,3,3000.0,1430.5666999999976
9,2,3,3150.0,1358.8833649999974
9,2,3,3300.0,1287.2000299999975
9,2,3,3450.0,1215.5166949999975
9,2,3,3600.0,1143.8333599999976
9,2,3,3750.0,1072.1500249999976
9,2,3,3900.0,1000.4666899999975
9,2,3,4050.0,928.7833550000059
9,2,3,4200.0,857.2333533333394
9,2,3,4350.0,785.6833516666725
9,2,3,4500.0,714.133350000006
9,2,3,4650.0,642.5833483333395
9,2,3,4800.0,571.0333466666725
9,2,3,4950.0,499.483345000006
9,2,3,5100.0,427.9333433333395
9,2,3,5250.0,356.5833416666651
9,2,3,5400.0,285.2666733333317
9,2,3,5550.0,213.95000499999833
9,2,3,5700.0,142.63333666666495
9,2,3,5850.0,71.31666833333156
9,2,3,6000.0,-1.3642420526593924e-12
9,2,3,6150.0,-71.31666833333475
9,2,3,6300.0,-142.63333666666813
9,2,3,6450.0,-213.9000050000027
9,2,3,6600.0,-285.0833400000024
9,2,3,6750.0,-356.2666750000026
9,2,3,6900.0,-427.45001000000275
9,2,3,7050.0,-498.63334500000246
9,2,3,7200.0,-569.8166800000026
9,2,3,7350.0,-641.0000150000023
9,2,3,7500.0,-712.1833500000025
9,2,3,7650.0,-783.3666850000027
9,2,3,7800.0,-854.550019999992
9,2,3,7950.0,-925.7000216666584
9,2,3,8100.0,-996.8500233333252
9,2,3,8250.0,-1068.0000249999916
9,2,3,8400.0,-1139.1500266666585
9,2,3,8550.0,-1210.300028333325
9,2,3,8700.0,-1281.3000300000094
9,2,3,8850.0,-1352.0500316666757
9,2,3,9000.0,-1422.800033333343
9,2,3,9150.0,-1493.5500350000093
9,2,3,9300.0,-1564.3000366666756
9,2,3,9450.0,-1635.0500383333429
9,2,3,9600.0,-1705.8000400000092
9,2,3,9750.0,-1776.5500416666764
9,2,3,9900.0,-1847.3000433333427
9,2,3,10050.0,-1918.050045000009
9,2,3,10200.0,-1988.8000466666763
9,2,3,10350.0,-2054.450724050004
9,2,3,10500.0,-2112.122722700004
9,2,3,10650.0,-2169.794721350004
9,2,3,10800.0,-2227.466720000004
9,2,2,1200.0,2292.35005333335
9,2,2,1350.0,2220.5000516666832
9,2,2,1500.0,2148.6500500000166
9,2,2,1650.0,2076.80004833335
9,2,2,1800.0,2004.9500466666836
9,2,2,1950.0,1933.100045000017
9,2,2,2100.0,1861.2500433333503
9,2,2,2250.0,1789.4000416666836
9,2,2,2400.0,1717.550040000017
9,2,2,2550.0,1645.7000383333502
9,2,2,2700.0,1573.933370000012
9,2,2,2850.0,1502.250035000012
9,2,2,3000.0,1430.5667000000121
9,2,2,3150.0,1358.883365000012
9,2,2,3300.0,1287.200030000012
9,2,2,3450.0,1215.516695000012
9,2,2,3600.0,1143.8333600000121
9,2,2,3750.0,1072.1500250000122
9,2,2,3900.0,1000.466690000012
9,2,2,4050.0,928.7833550000121
9,2,2,4200.0,857.2333533333394
9,2,2,4350.0,785.6833516666725
9,2,2,4500.0,714.133350000006
9,2,2,4650.0,642.5833483333395
9,2,2,4800.0,571.0333466666725
9,2,2,4950.0,499.483345000006
9,2,2,5100.0,427.9333433333395
9,2,2,5250.0,356.5833416666651
9,2,2,5400.0,285.2666733333317
9,2,2,5550.0,213.95000499999833
9,2,2,5700.0,142.63333666666495
9,2,2,5850.0,71.31666833333156
9,2,2,6000.0,-1.3642420526593924e-12
9,2,2,6150.0,-71.31666833333475
9,2,2,6300.0,-142.63333666666813
9,2,2,6450.0,-213.90000500001725
9,2,2,6600.0,-285.08334000001696
9,2,2,6750.0,-356.26667500001713
9,2,2,6900.0,-427.4500100000173
9,2,2,7050.0,-498.633345000017
9,2,2,7200.0,-569.8166800000172
9,2,2,7350.0,-641.0000150000169
9,2,2,7500.0,-712.1833500000171
9,2,2,7650.0,-783.3666850000172
9,2,2,7800.0,-854.550020000017
9,2,2,7950.0,-925.7000216666875
9,2,2,8100.0,-996.8500233333543
9,2,2,8250.0,-1068.0000250000207
9,2,2,8400.0,-1139.1500266666876
9,2,2,8550.0,-1210.300028333354
9,2,2,8700.0,-1281.300030000024
9,2,2,8850.0,-1352.0500316666903
9,2,2,9000.0,-1422.8000333333575
9,2,2,9150.0,-1493.5500350000239
9,2,2,9300.0,-1564.3000366666902
9,2,2,9450.0,-1635.0500383333574
