day,date,beta,budget_index,risk_reduction_fraction,risk_budget,scenario_expected,scenario_cvar,risk_multiplier,effective_tail_n,n_scenarios,max_history_day,solve_seconds,planned_cost,emergency_cost,total_cost,adjusted_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,soc_residual
187,2025-07-07,0.95,0,0.0,81566.05546428448,60265.27707365477,81566.05546428448,0.0,1.8666666666666687,42,186,0.1078342949999751,55681.221655052635,257.8427498614646,55939.0644049141,55754.240875116564,87935.79995266996,38.2779903402203,10642.803228384222,3,1,2,6196.8750403805,6644.8717460572525,5.684341886080802e-14,9.094947017729282e-13
187,2025-07-07,0.95,1,0.25,78063.40708472255,60454.49277651029,78063.40709472256,0.11602830851187139,1.8666666666666687,42,186,0.2033871179999096,57115.08610049928,72.39281734040796,57187.47891783968,56874.71462270632,89878.28668491467,10.739180735856394,12351.05473832392,1,1,1,6196.8750403805,6954.989410485607,1.1368683772161603e-13,9.094947017729282e-13
187,2025-07-07,0.95,2,0.5,74560.75870516064,61083.92559481256,74560.75871516061,0.2352799917914681,1.8666666666666687,42,186,0.23312485700012076,58723.32681532992,0.0,58723.32681532992,58207.329724997566,92007.94349313233,0.0,14007.934070489593,0,0,0,6196.8750403805,7447.608628581741,1.1368683772161603e-13,9.094947017729282e-13
187,2025-07-07,0.95,3,0.75,71058.11032559871,62346.793190777586,71058.11033559871,0.48320895522388047,1.8666666666666687,42,186,0.27028051100000994,60923.85832585462,0.0,60923.85832585462,60222.851117255195,95020.2773425702,0.0,16621.395431231267,0,0,0,6196.8750403805,7896.057609029791,1.1368683772161603e-13,9.094947017729282e-13
187,2025-07-07,0.95,4,1.0,67555.46194603678,66593.60060530339,67555.46195603679,36.6320700545507,1.8666666666666687,42,186,0.3230631029998676,66254.06861825526,0.0,66254.06861825526,65376.36063414814,102533.50256619748,0.0,23907.60295841727,0,0,0,6196.8750403805,8324.36544085561,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.9,0,0.0,85130.60370541722,68931.98501954641,85130.60370541722,0.0,3.7333333333333334,42,187,0.10388832700004969,64248.42715518287,0.0,64248.42715518287,63212.35556359892,99730.36079152388,0.0,17946.411110187797,0,0,0,6580.9370264824,9092.287504332005,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.9,1,0.25,82731.69596669078,69063.46299115053,82731.69597669074,0.12938820349792443,3.7333333333333334,42,187,0.19430491099979008,65500.68256736033,0.0,65500.68256736033,64348.457336746826,101443.85769111563,0.0,19437.252496252106,0,0,0,6580.9370264824,9373.834165055401,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.9,2,0.5,80332.78822796434,69566.25779599615,80332.78823796434,0.29960317460317465,3.7333333333333334,42,187,0.23333260799995514,66991.73699525138,0.0,66991.73699525138,65674.4583954616,103335.19878902199,0.0,21039.412067411402,0,0,0,6580.9370264824,9773.90966265479,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.9,3,0.75,77933.8804892379,70572.19339011893,77933.88049923792,0.56200351346244,3.7333333333333334,42,187,0.2709356480002043,68873.30011354518,0.0,68873.30011354518,67387.99997089493,105810.69351824283,0.0,23271.93287833754,0,0,0,6580.9370264824,10181.179763851693,1.7053025658242404e-13,9.094947017729282e-13
188,2025-07-08,0.9,4,1.0,75534.97275051146,73450.90206381523,75534.97276051146,28.011853448275957,3.7333333333333334,42,187,0.30783514499989906,72918.44200420895,0.0,72918.44200420895,71230.04365329407,111225.39001856823,0.0,28327.759723650255,0,0,0,6580.9370264824,10673.47275452818,1.4210854715202004e-13,9.094947017729282e-13
