slope,weekday,fold,train_window,val_block,samples,mae_kw,rmse_kw
0.4000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,169.6642554913,213.8536765972
0.4000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,157.1207124701,196.2462390555
0.4000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,272.0401567015,357.3486152604
0.4000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,211.5586276543,276.3842093550
0.4000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,205.6440438142,259.3758789939
0.4000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,351.8314326556,479.4612253108
0.4000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,277.7529831100,375.8183997869
0.4000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,285.9984415256,366.9392125156
0.8000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,150.8687719880,188.4293128062
0.8000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,128.8482208933,159.1882503224
0.8000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.5339672550,152.3930425670
0.8000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,152.1568218774,190.2580151477
0.8000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,130.3486767982,160.6646109302
0.8000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.9109884965,152.9203345279
0.8000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,158.1811586428,197.2717656053
0.8000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,134.4051676195,165.4348723875
0.8000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,124.9647943155,155.7410171238
0.8000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,173.6504476459,217.5957648269
0.8000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,145.1645854055,179.2178629962
0.8000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,133.1971924947,166.2215574515
0.8000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,205.3852981763,262.5609178730
0.8000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,168.0892657788,211.9120100845
0.8000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,156.7441974618,195.7364398951
0.8000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,258.4899626318,342.2976607514
0.8000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,209.4574712509,273.7999366213
0.8000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,205.0659604265,258.6610770728
0.8000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,339.5123120402,462.2034224457
0.8000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,275.0462804686,372.2596489764
0.8000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,285.0426583428,365.8034201113
1.6000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,147.0569809637,184.0973265390
1.6000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,127.0674310129,157.0944184386
1.6000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.0083673917,151.5736031098
1.6000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,148.1316339330,185.7598850534
1.6000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,128.5504169031,158.5577726091
1.6000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.3770572420,152.1197525741
1.6000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,153.6383104025,192.2306168241
1.6000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,132.5345819309,163.2703854248
1.6000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,124.4093230500,154.9650558814
1.6000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,168.0365051822,211.2106014026
1.6000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,143.1803719747,176.8559642353
1.6000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,132.6332098610,165.4497312322
1.6000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,197.8588714615,253.8399479987
1.6000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,165.6624817884,209.0325617944
1.6000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,156.1536723025,194.8571522955
1.6000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,249.6777289395,330.6292977561
1.6000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,206.2489830408,269.9120161430
1.6000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,204.0349919562,257.4079613195
1.6000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,332.6735022825,447.3458424664
1.6000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,271.0837158694,366.8717468065
1.6000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,283.3313383878,363.7948560636
3.2000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,144.6202996353,181.4270817379
3.2000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,124.9263393102,154.7303453635
3.2000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,121.1928400199,150.3749836009
3.2000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,145.6966273842,182.9735477802
3.2000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,126.4299321630,156.1619913941
3.2000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,121.5665666113,150.9490866436
