alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.5000000000,0.7000000000,863494.8319128094,863590.6396984358,1160.4519912201,210.4319178534,57781.0076613909,13830.9784579680,798566.8939102361,67889.2576728732,-4121.7716615199,1304120.7153614401,1348070.7445648625,64134.3841422297,65090.6100148576,9015.8703503882
0.5000000000,0.7500000000,871045.1647096914,871097.3873254430,866.4013673220,154.5021928688,64483.2681671688,13980.1436749453,798060.6747562089,76224.1038326760,-4106.0152465154,1302929.0376552474,1353432.1621474707,64687.2285647393,65749.6119831039,9121.5171397425
0.5000000000,0.8000000000,881250.6338373212,881250.3713965217,558.7700543045,100.4801152822,73163.3931589908,14220.8905794562,797209.6602065183,87596.0321613879,-4113.8285848895,1300925.5715802840,1359868.0741598185,65469.3694135733,66828.8156139437,9248.7365065508
0.5500000000,0.5000000000,851282.4504206941,851531.4480168744,13595.1630395262,2494.5573765629,26700.1530717537,20908.6177471867,812490.1156592946,31930.7631582111,-6733.5914363380,1326292.6446674336,1332084.1799920006,63658.6496638584,63780.2057754595,8644.5511220052
0.5500000000,0.5500000000,849228.6890646468,849461.5778746477,8209.4684389311,1520.6533358955,29888.2159590806,18797.0893547098,811982.5674295932,35034.4409060877,-5997.7877099651,1325099.8398216963,1336190.9664260673,63264.8116491103,63419.5723197159,8683.5974660978
0.5500000000,0.6000000000,849857.1995323950,850047.6258178735,3918.2429537239,726.2620561709,34132.9996947761,17205.3034129222,811327.5836815680,40006.4291700536,-5395.0562729505,1323558.9614356654,1340486.6577175190,63013.5535479768,63708.6563533959,8786.5230574525
0.5500000000,0.6500000000,854045.4818667925,854174.2707539445,1979.3689287530,365.3158601151,39693.5741547633,16531.4229261872,810576.4872552234,46636.7172413618,-5147.0915585457,1321791.7085392615,1344953.8597678374,63374.7269620059,64113.6858274154,8935.9269316615
0.5500000000,0.7000000000,860784.7427385676,860869.5917324790,1116.0907410768,200.8233075880,46672.1930445013,16425.7115329128,809839.6200322534,54882.3111576205,-5053.2791923830,1320057.4339642117,1350303.9154758002,63864.7299906574,64666.7247817279,9042.4335406480
0.5500000000,0.7500000000,868508.5494356882,868549.8132597249,829.1039402964,146.4016575645,53635.3205427014,16481.6105630805,809328.0084044170,63339.0870732180,-4987.6499822433,1318853.0686283545,1356006.7786079757,64417.2969429104,65327.0417762978,9148.0803300024
0.5500000000,0.8000000000,878562.5356433457,878551.3144108312,536.9365018429,95.6810049488,62175.9576869493,16633.3125992148,808483.1990349763,74487.1041698815,-4944.7040633550,1316864.2960798147,1362406.9411675490,65199.2872960460,66407.3880471291,9275.2996968106
0.6000000000,0.5000000000,851801.7889434990,852045.6198808567,13191.4781748203,2412.8454817753,19058.8300628901,27872.2267632024,824183.7934851311,23525.1527571041,-9098.6354735567,1343366.3317732718,1334552.9350729589,63481.3306178679,63724.2987180785,8657.0746688413
0.6000000000,0.5500000000,849285.2217479929,849512.9438991712,7891.0185683600,1456.4017124591,21795.7635193094,24872.0902681203,823621.8705479664,25845.4395747550,-8073.1069430885,1342045.2832326449,1338968.9564838340,63064.9252999498,63151.8171039529,8696.1210129339
0.6000000000,0.6000000000,849593.7623772934,849780.3561477552,3889.1734141062,722.2780777300,25591.9225327732,22397.9302529059,822965.8864880265,29886.9545984395,-7148.2521232785,1340501.9183147070,1343695.9105945739,62830.5707462985,63403.6692871411,8795.8127518104
0.6000000000,0.6500000000,853215.0729559312,853338.8229216747,1952.7930394353,360.9183134873,30275.4502210590,20877.1781617689,822217.3261154311,35604.3217288506,-6559.3679277858,1338740.4325470685,1348138.7046063587,63191.8700768909,63807.4827896213,8948.1408537400
0.6000000000,0.7000000000,859344.0029448746,859423.6509737021,1110.3164863409,199.5827070472,36423.7826534560,20408.1374979229,821479.5993567700,43096.9293136041,-6342.8422118404,1337003.8810397594,1353019.5261952926,63662.4715037663,64362.2076328065,9055.0402429791
0.6000000000,0.7500000000,867297.2094436811,867333.3932897446,823.9180972140,145.2617865715,43945.5858180053,20468.5176295890,820960.3477110306,51766.7507361753,-6253.8071007387,1335781.5319608746,1359258.6001492906,64178.6583815401,65021.1327008348,9160.3937697432
0.6000000000,0.8000000000,877410.6856442216,877394.3844337341,531.7506587604,94.5411339558,52624.4784180824,20506.2839175806,820124.4245440729,62913.9411160595,-6159.4306746712,1333813.6568457638,1365931.8513462658,64960.2655457811,66102.3268665674,9287.6131365514
0.6500000000,0.5000000000,853229.1417624548,853468.3923094621,12982.4111612294,2369.8230760606,11991.1647273997,35793.0853877459,836509.0291645637,15829.7922659099,-12092.0908292482,1361046.9097422194,1337244.9890818733,63307.7058904450,63534.5488346217,8668.1771501649
0.6500000000,0.5500000000,849861.4969055885,850084.6386664164,7609.0889636969,1398.0200956518,13590.9921185741,31970.6723441912,835893.3050827242,16994.7958561251,-10635.6929969575,1359599.0469541780,1341219.3667285608,62958.5776200230,63031.4760042593,8707.2234942575
0.6500000000,0.6000000000,849722.2500518953,849904.8909163277,3601.0310089899,658.2209018885,16676.5097521726,28565.7553500045,835208.9730093718,20278.9633713672,-9366.7173378335,1357988.7634580575,1346099.5178602256,62707.3768262404,63190.8955906261,8805.3942638664
